Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-2,complete,1,169,11,11,pygosdt,None,None,0.5,300,leviathan,1,0,135,11,22,0.02788489079,1,1,1,59.25925926,73.52941176,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.5,300,leviathan,1,1,135,11,22,0.03546307003,1,1,1,62.96296296,58.82352941,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.5,300,leviathan,1,2,135,11,22,0.03698045714,1,1,1,61.48148148,64.70588235,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.5,300,leviathan,1,3,135,11,22,0.03976500873,1,1,1,65.18518519,50,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.5,300,leviathan,1,4,136,11,22,0.04347708775,1,1,1,61.76470588,63.63636364,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.25,300,leviathan,1,0,135,11,22,0.08605979476,1,1,1,59.25925926,73.52941176,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.25,300,leviathan,1,1,135,11,22,0.08686345583,1,1,1,62.96296296,58.82352941,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.25,300,leviathan,1,2,135,11,22,0.07860940788,1,1,1,61.48148148,64.70588235,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.25,300,leviathan,1,3,135,11,22,0.08179431036,1,1,1,65.18518519,50,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.25,300,leviathan,1,4,136,11,22,0.07668442279,1,1,1,61.76470588,63.63636364,[ $class$ [ $0$ ] ],
monk-2,complete,1,169,11,11,pygosdt,None,None,0.125,300,leviathan,1,0,135,11,22,0.6587554133,1,1,1,59.25925926,73.52941176,[ $class$ [ $0$ ] ],
