Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-3,complete,1,122,11,11,gosdt,None,None,0.5,300,leviathan,1,0,97,11,22,0,1,1,1,56.70103093,28,[ $class$ [ $0$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.5,300,leviathan,1,1,97,11,22,0,1,1,1,51.54639175,40,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.5,300,leviathan,1,2,98,11,22,0,1,1,1,53.06122449,41.66666667,[ $class$ [ $0$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.5,300,leviathan,1,3,98,11,22,0,1,1,1,53.06122449,33.33333333,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.5,300,leviathan,1,4,98,11,22,0,1,1,1,51.02040816,41.66666667,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.25,300,leviathan,1,0,97,11,22,0,1,1,1,56.70103093,28,[ $class$ [ $0$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.25,300,leviathan,1,1,97,11,22,0.001,1,1,1,51.54639175,40,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.25,300,leviathan,1,2,98,11,22,0,1,1,1,53.06122449,41.66666667,[ $class$ [ $0$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.25,300,leviathan,1,3,98,11,22,0,1,1,1,53.06122449,33.33333333,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.25,300,leviathan,1,4,98,11,22,0,1,1,1,51.02040816,41.66666667,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.125,300,leviathan,1,0,97,11,22,0.007,2,2,3,71.13402062,52,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.125,300,leviathan,1,1,97,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-3,complete,1,122,11,11,gosdt,None,None,0.125,300,leviathan,1,2,98,11,22,0.007,2,2,3,71.42857143,50,[ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.125,300,leviathan,1,3,98,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-3,complete,1,122,11,11,gosdt,None,None,0.125,300,leviathan,1,4,98,11,22,0.007,3,3,5,76.53061224,83.33333333,[ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.0625,300,leviathan,1,0,97,11,22,0.038,3,3,5,79.3814433,72,[ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.0625,300,leviathan,1,1,97,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-3,complete,1,122,11,11,gosdt,None,None,0.0625,300,leviathan,1,2,98,11,22,0.045,3,3,5,82.65306122,58.33333333,[ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.0625,300,leviathan,1,3,98,11,22,-1,-1,-1,-1,-1,-1,NA,
monk-3,complete,1,122,11,11,gosdt,None,None,0.0625,300,leviathan,1,4,98,11,22,0.039,3,3,5,76.53061224,83.33333333,[ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.03125,300,leviathan,1,0,97,11,22,0.124,3,3,5,79.3814433,72,[ $a2_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.03125,300,leviathan,1,1,97,11,22,0.174,5,6,11,86.59793814,92,[ $a2_1  \eq  1$ [ $a5_1  \eq  1$ [ $class$ [ $1$ ] ] [ $a5_2  \eq  1$ [ $class$ [ $1$ ] ] [ $a5_3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $a2_2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.03125,300,leviathan,1,2,98,11,22,-1,-1,-1,-1,-1,-1,NA,
