Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
tic-tac-toe,complete,1,958,18,18,binoct,1,None,None,300,leviathan,1,0,766,18,36,0.3315113727,2,2,3,70.10443864,69.27083333,[ $Feat4_o  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,binoct,1,None,None,300,leviathan,1,1,766,18,36,0.2810831992,2,2,3,67.75456919,78.64583333,[ $Feat4_o  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,binoct,1,None,None,300,leviathan,1,2,766,18,36,0.2912555244,2,2,3,66.84073107,82.29166667,[ $Feat4_o  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,binoct,1,None,None,300,leviathan,1,3,767,18,36,0.3014483368,2,2,3,75.09778357,26.17801047,[ $Feat3_o  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,binoct,1,None,None,300,leviathan,1,4,767,18,36,0.26733458,2,2,3,81.6166884,0,[ $Feat0_x  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,binoct,2,None,None,300,leviathan,1,0,766,18,36,80.15978222,3,4,7,73.23759791,44.79166667,[ $Feat8_x  \le  0.5$ [ $Feat4_x  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat1_x  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,binoct,2,None,None,300,leviathan,1,1,766,18,36,101.8285957,3,4,7,71.14882507,47.39583333,[ $Feat1_x  \le  0.5$ [ $Feat4_o  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat0_o  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,binoct,2,None,None,300,leviathan,1,2,766,18,36,86.74491581,3,4,7,70.10443864,65.10416667,[ $Feat0_x  \le  0.5$ [ $Feat4_x  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat8_x  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,binoct,2,None,None,300,leviathan,1,3,767,18,36,24.61291624,3,4,7,81.4863103,26.70157068,[ $Feat4_o  \le  0.5$ [ $Feat8_o  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat0_x  \le  0.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,binoct,2,None,None,300,leviathan,1,4,767,18,36,28.42899645,3,4,7,82.65971317,15.18324607,[ $Feat6_o  \le  0.5$ [ $Feat2_x  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat4_o  \le  0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
