Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.5,300,leviathan,1,0,766,18,36,0,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.5,300,leviathan,1,1,766,18,36,0,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.5,300,leviathan,1,2,766,18,36,0,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.5,300,leviathan,1,3,767,18,36,0,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.5,300,leviathan,1,4,767,18,36,0,1,1,1,81.6166884,0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.25,300,leviathan,1,0,766,18,36,0.003,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.25,300,leviathan,1,1,766,18,36,0.002,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.25,300,leviathan,1,2,766,18,36,0.002,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.25,300,leviathan,1,3,767,18,36,0,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.25,300,leviathan,1,4,767,18,36,0,1,1,1,81.6166884,0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.125,300,leviathan,1,0,766,18,36,0.048,2,2,3,70.10443864,69.27083333,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.125,300,leviathan,1,1,766,18,36,0.049,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.125,300,leviathan,1,2,766,18,36,0.05,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.125,300,leviathan,1,3,767,18,36,0.003,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.125,300,leviathan,1,4,767,18,36,0.003,1,1,1,81.6166884,0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.0625,300,leviathan,1,0,766,18,36,0.726,2,2,3,70.10443864,69.27083333,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.0625,300,leviathan,1,1,766,18,36,0.783,2,2,3,67.75456919,78.64583333,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.0625,300,leviathan,1,2,766,18,36,0.775,2,2,3,66.84073107,82.29166667,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.0625,300,leviathan,1,3,767,18,36,0.156,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.0625,300,leviathan,1,4,767,18,36,0.018,1,1,1,81.6166884,0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.03125,300,leviathan,1,0,766,18,36,5.879,2,2,3,70.10443864,69.27083333,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.03125,300,leviathan,1,1,766,18,36,6.016,2,2,3,67.75456919,78.64583333,[ $Feat4_o  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
