Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.5,300,leviathan,1,0,766,18,36,0.03218132723,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.5,300,leviathan,1,1,766,18,36,0.03736571083,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.5,300,leviathan,1,2,766,18,36,0.03802547464,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.5,300,leviathan,1,3,767,18,36,0.03584190598,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.5,300,leviathan,1,4,767,18,36,0.03606793424,1,1,1,81.6166884,0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.25,300,leviathan,1,0,766,18,36,0.4375269632,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.25,300,leviathan,1,1,766,18,36,0.4851997891,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.25,300,leviathan,1,2,766,18,36,0.4495329508,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.25,300,leviathan,1,3,767,18,36,0.04212987004,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.25,300,leviathan,1,4,767,18,36,0.04421411827,1,1,1,81.6166884,0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.125,300,leviathan,1,0,766,18,36,5.97970407,2,2,3,70.10443864,69.27083333,[ $feature_8  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.125,300,leviathan,1,1,766,18,36,5.567865443,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.125,300,leviathan,1,2,766,18,36,5.367895017,1,1,1,56.65796345,100,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.125,300,leviathan,1,3,767,18,36,1.894094822,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.125,300,leviathan,1,4,767,18,36,0.3120862502,1,1,1,81.6166884,0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0625,300,leviathan,1,0,766,18,36,44.85185611,2,2,3,70.10443864,69.27083333,[ $feature_8  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0625,300,leviathan,1,1,766,18,36,43.33403584,2,2,3,67.75456919,78.64583333,[ $feature_8  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0625,300,leviathan,1,2,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0625,300,leviathan,1,3,767,18,36,19.57158984,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0625,300,leviathan,1,4,767,18,36,8.635195844,1,1,1,81.6166884,0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.03125,300,leviathan,1,0,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.03125,300,leviathan,1,1,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.03125,300,leviathan,1,2,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.03125,300,leviathan,1,3,767,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.03125,300,leviathan,1,4,767,18,36,75.05019038,1,1,1,81.6166884,0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.015625,300,leviathan,1,0,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.015625,300,leviathan,1,1,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.015625,300,leviathan,1,2,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.015625,300,leviathan,1,3,767,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.015625,300,leviathan,1,4,767,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0078125,300,leviathan,1,0,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0078125,300,leviathan,1,1,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0078125,300,leviathan,1,2,766,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0078125,300,leviathan,1,3,767,18,36,-1,-1,-1,-1,-1,-1,NA,
tic-tac-toe,complete,1,958,18,18,pygosdt,None,None,0.0078125,300,leviathan,1,4,767,18,36,-1,-1,-1,-1,-1,-1,NA,
