fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1721,28,5,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,6,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,7,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,8,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,9,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,10,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,11,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,12,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,13,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,14,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,15,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,16,0.0,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,17,0.0,2,2,3,64.84601975595584,62.5,[ $Bar0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,18,0.0,2,2,3,64.84601975595584,62.5,[ $Bar0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,19,0.003000000026077032,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0$ [ $Bar1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,20,0.003000000026077032,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0$ [ $Bar1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,22,0.004999999888241291,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0$ [ $Bar1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,24,0.017999999225139618,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0$ [ $Bar1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,26,0.027000000700354576,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0$ [ $Bar1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,28,0.03500000014901161,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0$ [ $Bar1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
