fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1721,28,5,0.033181029837578535,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,6,0.03571240417659283,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,7,0.050226659048348665,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,8,0.03767143376171589,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,9,0.039496509823948145,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,10,0.042139117140322924,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,11,0.04787787841632962,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,12,0.04159608483314514,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,13,0.05839479016140103,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,14,0.0634828507900238,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,15,0.04537225980311632,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,16,0.04904857184737921,1,1,1,58.570598489250436,60.9375,[ $class$ [ $0$ ] ]
NA,1721,28,17,0.06582484906539321,2,2,3,64.84601975595584,62.5,[ $Bar0 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,1721,28,18,0.05446782987564802,2,2,3,64.84601975595584,62.5,[ $Bar0 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,19,0.05783691070973873,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0 \eq 1$ [ $Bar1 \eq 0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,20,0.07759672682732344,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0 \eq 1$ [ $Bar1 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,22,0.08496444998309016,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0 \eq 1$ [ $Bar1 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,24,0.14581588609144092,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0 \eq 1$ [ $Bar1 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,26,0.2564419060945511,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0 \eq 1$ [ $Bar1 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,1721,28,28,0.46633419627323747,3,3,5,68.91342242882045,68.22916666666666,[ $Bar0 \eq 0 \eq 1$ [ $Bar1 \eq 0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
