fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,4518,85,5,0.004796192981302738,4,5,9,57.79105799026117,55.37848605577689,[ $age \ge 20.5 \eq 1$ [ $age \ge 19.5 \eq 1$ [ $age \ge 18.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 21.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,4518,85,6,0.003802221268415451,4,6,11,58.07879592740151,55.97609561752988,[ $age \ge 20.5 \eq 1$ [ $age \ge 19.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 22.5 \eq 1$ [ $age \ge 21.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,4518,85,7,0.004271304700523615,5,7,13,58.07879592740151,55.97609561752988,[ $age \ge 20.5 \eq 0$ [ $age \ge 23.5 \eq 1$ [ $age \ge 22.5 \eq 1$ [ $age \ge 21.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $age \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,4518,85,8,0.004649810027331114,5,8,15,58.07879592740151,55.97609561752988,[ $age \ge 20.5 \eq 1$ [ $age \ge 19.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 24.5 \eq 0$ [ $class$ [ $0$ ] ] [ $age \ge 22.5 \eq 0$ [ $age \ge 23.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $age \ge 21.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
NA,4518,85,9,0.00479313125833869,6,9,17,58.07879592740151,55.97609561752988,[ $age \ge 20.5 \eq 1$ [ $age \ge 19.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 25.5 \eq 0$ [ $class$ [ $0$ ] ] [ $age \ge 22.5 \eq 0$ [ $age \ge 24.5 \eq 0$ [ $class$ [ $0$ ] ] [ $age \ge 23.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $age \ge 21.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
NA,4518,85,10,0.004632716998457909,6,9,17,58.477202301903496,56.17529880478087,[ $age \ge 26.5 \eq 1$ [ $age \ge 20.5 \eq 1$ [ $age \ge 19.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 22.5 \eq 1$ [ $age \ge 21.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 25.5 \eq 0$ [ $class$ [ $1$ ] ] [ $age \ge 24.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,11,0.004968610126525164,6,10,19,59.052678176184145,55.57768924302788,[ $age \ge 27.5 \eq 1$ [ $age \ge 20.5 \eq 0$ [ $age \ge 25.5 \eq 1$ [ $age \ge 22.5 \eq 1$ [ $age \ge 21.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 24.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $age \ge 26.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,12,0.0056291790679097176,6,11,21,59.052678176184145,55.57768924302788,[ $age \ge 27.5 \eq 1$ [ $age \ge 20.5 \eq 0$ [ $age \ge 25.5 \eq 0$ [ $age \ge 26.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 22.5 \eq 1$ [ $age \ge 21.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 24.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $age \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age \ge 28.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,4518,85,13,0.005859958007931709,6,12,23,59.052678176184145,55.57768924302788,[ $age \ge 27.5 \eq 1$ [ $age \ge 20.5 \eq 0$ [ $age \ge 25.5 \eq 1$ [ $age \ge 22.5 \eq 1$ [ $age \ge 21.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 24.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $age \ge 26.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 19.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 29.5 \eq 1$ [ $age \ge 28.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,4518,85,14,0.005868543870747089,6,11,21,59.052678176184145,55.57768924302788,[ $age \ge 30.5 \eq 1$ [ $age \ge 20.5 \eq 0$ [ $age \ge 27.5 \eq 1$ [ $age \ge 25.5 \eq 1$ [ $age \ge 22.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age \ge 26.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age \ge 28.5 \eq 1$ [ $class$ [ $0$ ] ] [ $age \ge 29.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $age \ge 19.5 \eq 1$ [ $age \ge 18.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ]
