fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,4518,85,5,0.06805149093270302,2,2,3,57.79105799026117,55.37848605577689,[ $age \ge 21.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,6,0.07154532056301832,2,2,3,58.07879592740151,55.97609561752988,[ $age \ge 22.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,7,0.08037154283374548,2,2,3,58.07879592740151,55.97609561752988,[ $age \ge 22.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,8,0.09257707884535193,2,2,3,58.07879592740151,55.97609561752988,[ $age \ge 22.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,9,0.10176296019926667,2,2,3,58.07879592740151,55.97609561752988,[ $age \ge 22.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,10,0.11079489020630717,2,2,3,58.1451969898185,58.964143426294825,[ $age \ge 26.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,11,0.12249868595972657,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,12,0.13415179587900639,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,13,0.14361553499475121,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,14,0.15526399901136756,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,15,0.16456162091344595,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,16,0.1737964549101889,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,17,0.18459568079560995,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,18,0.20113907661288977,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,19,0.2066902439109981,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,20,0.21659159800037742,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,22,0.23716120328754187,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,24,0.2649111170321703,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,26,0.2821646872907877,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,28,0.310966941062361,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,30,0.3304132870398462,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,32,0.36309080198407173,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,34,0.3843043609522283,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,36,0.4036669419147074,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4518,85,38,0.4272628831677139,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4518,85,40,0.46007107524201274,2,2,3,58.72067286409916,58.366533864541836,[ $age \ge 27.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
