fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,9672,615,5,335.24419860728085,6,32,63,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,9672,615,6,340.01402228325605,6,32,63,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,9672,615,7,346.71843938715756,6,32,63,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,9672,615,8,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,9,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,10,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,11,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,12,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,13,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,14,-1,-1,-1,-1,-1,-1,NA
