fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,9672,615,5,0.006130505818873644,5,5,9,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 1$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 2.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,9672,615,6,0.005483986344188452,5,6,11,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 1$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 4.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 2.5 \eq 0$ [ $p_felony_count_person \ge 3.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,9672,615,7,0.006231363862752914,5,7,13,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 1$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 4.5 \eq 0$ [ $p_felony_count_person \ge 5.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 2.5 \eq 0$ [ $p_felony_count_person \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,9672,615,8,0.006652438081800938,5,8,15,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 1$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 4.5 \eq 0$ [ $p_felony_count_person \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 2.5 \eq 0$ [ $p_felony_count_person \ge 3.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,9672,615,9,0.00685751112177968,6,9,17,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 4.5 \eq 1$ [ $p_felony_count_person \ge 2.5 \eq 1$ [ $p_felony_count_person \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 7.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 5.5 \eq 0$ [ $p_felony_count_person \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,10,0.007515070028603077,6,10,19,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 4.5 \eq 0$ [ $p_felony_count_person \ge 7.5 \eq 1$ [ $p_felony_count_person \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 6.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 2.5 \eq 0$ [ $p_felony_count_person \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,11,0.00838305614888668,6,11,21,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 4.5 \eq 0$ [ $p_felony_count_person \ge 7.5 \eq 0$ [ $p_felony_count_person \ge 8.5 \eq 1$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 9.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 5.5 \eq 0$ [ $p_felony_count_person \ge 6.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 2.5 \eq 1$ [ $p_felony_count_person \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,12,0.00819897698238492,6,11,21,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 4.5 \eq 1$ [ $p_felony_count_person \ge 2.5 \eq 0$ [ $p_felony_count_person \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 1.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 7.5 \eq 0$ [ $p_felony_count_person \ge 8.5 \eq 1$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 9.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 6.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,13,0.008564600255340338,6,11,21,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 4.5 \eq 0$ [ $p_felony_count_person \ge 7.5 \eq 1$ [ $p_felony_count_person \ge 5.5 \eq 1$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 6.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 8.5 \eq 0$ [ $p_felony_count_person \ge 9.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 2.5 \eq 0$ [ $p_felony_count_person \ge 3.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,14,0.009088829159736633,6,11,21,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $p_felony_count_person \ge 4.5 \eq 0$ [ $p_felony_count_person \ge 7.5 \eq 0$ [ $p_felony_count_person \ge 8.5 \eq 0$ [ $p_felony_count_person \ge 9.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 5.5 \eq 0$ [ $p_felony_count_person \ge 6.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $p_felony_count_person \ge 2.5 \eq 1$ [ $p_felony_count_person \ge 1.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 3.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $class$ [ $0$ ] ] ]
