fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,9672,615,5,0.17810818878933787,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,6,0.04974381113424897,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,7,0.1117977392859757,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,8,0.24810745799914002,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,9,0.5294970669783652,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,10,0.9587812232784927,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,11,1.6722259558737278,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,12,2.775586197152734,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,13,4.354860034771264,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,14,6.684211422689259,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,15,9.94259529793635,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,16,14.134432619903237,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,17,19.94701260793954,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,18,27.77072018617764,2,2,3,69.84077750206782,67.72093023255815,[ $p_felony_count_person \ge 0.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,9672,615,19,36.21641484601423,3,3,5,69.87179487179486,67.81395348837209,[ $p_felony_count_person \ge 15.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 17.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,9672,615,20,47.78142041899264,3,3,5,69.87179487179486,67.81395348837209,[ $p_felony_count_person \ge 15.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 17.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,9672,615,22,80.63628372130916,4,5,9,69.88213399503722,67.72093023255815,[ $p_felony_count_person \ge 15.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 18.5 \eq 0$ [ $p_felony_count_person \ge 17.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,9672,615,24,126.47097373614088,4,5,9,69.88213399503722,67.72093023255815,[ $p_felony_count_person \ge 15.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 18.5 \eq 0$ [ $p_felony_count_person \ge 17.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,9672,615,26,189.95392204122618,4,5,9,69.88213399503722,67.72093023255815,[ $p_felony_count_person \ge 15.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 18.5 \eq 0$ [ $p_felony_count_person \ge 17.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,9672,615,28,273.51385989040136,4,5,9,69.88213399503722,67.72093023255815,[ $p_felony_count_person \ge 15.5 \eq 0$ [ $class$ [ $0$ ] ] [ $p_felony_count_person \ge 18.5 \eq 0$ [ $p_felony_count_person \ge 17.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,9672,615,30,300.0262452098541,4,7,13,69.90281224152191,67.81395348837209,[ $p_felony_count_person \ge 18.5 \eq 0$ [ $p_felony_count_person \ge 15.5 \eq 1$ [ $p_felony_count_person \ge 17.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 27.5 \eq 0$ [ $p_felony_count_person \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 28.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,9672,615,32,300.02258638106287,4,7,13,69.91315136476427,67.62790697674419,[ $p_felony_count_person \ge 18.5 \eq 0$ [ $p_felony_count_person \ge 15.5 \eq 1$ [ $p_felony_count_person \ge 17.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 27.5 \eq 0$ [ $p_felony_count_person \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 30.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,9672,615,34,300.0418016691692,4,7,13,69.91315136476427,67.62790697674419,[ $p_felony_count_person \ge 18.5 \eq 0$ [ $p_felony_count_person \ge 15.5 \eq 1$ [ $p_felony_count_person \ge 17.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 27.5 \eq 0$ [ $p_felony_count_person \ge 19.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 30.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,9672,615,36,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,38,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,40,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,42,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,44,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,46,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,48,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,50,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,52,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,54,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,56,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,58,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,60,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,65,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,70,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,75,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,80,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,85,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,90,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,95,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,100,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,105,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,110,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,120,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,130,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,140,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,150,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,160,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,170,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,180,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,190,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,210,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,220,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,230,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,240,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,250,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,260,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,270,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,280,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,290,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,300,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,325,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,350,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,375,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,400,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,425,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,450,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,475,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,500,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,525,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,550,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,575,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,600,-1,-1,-1,-1,-1,-1,NA
NA,9672,615,615,-1,-1,-1,-1,-1,-1,NA
