fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,1407,5,303.41211760090664,6,32,63,53.333333333333336,55.00000000000001,[ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 11.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,900,1407,6,304.5488948090933,6,32,63,53.333333333333336,55.00000000000001,[ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,900,1407,7,306.0311190043576,6,32,63,53.55555555555556,55.00000000000001,[ $PercentTradesWBalance \ge 12.5 \eq 1$ [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 1$ [ $PercentTradesWBalance \ge -8.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 1$ [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $PercentTradesWBalance \ge -8.5 \eq 1$ [ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $PercentTradesWBalance \ge 13.5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,900,1407,8,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,9,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,10,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,11,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,12,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,13,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,14,-1,-1,-1,-1,-1,-1,NA
