fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,1407,5,0.16198200918734074,2,2,3,53.333333333333336,55.00000000000001,[ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,6,0.009153201710432768,2,2,3,53.333333333333336,55.00000000000001,[ $PercentTradesWBalance \ge -8.5 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,7,0.016888916958123446,3,3,5,53.55555555555556,55.00000000000001,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 13.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,8,0.03435369720682502,3,3,5,53.77777777777778,55.00000000000001,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 15.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,9,0.06786886462941766,3,3,5,54.11111111111111,56.00000000000001,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 17.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,10,0.13555546989664435,3,3,5,54.11111111111111,56.00000000000001,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 17.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,11,0.2430860730819404,3,3,5,54.22222222222223,56.00000000000001,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 19.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,12,0.425625653937459,3,3,5,54.333333333333336,56.99999999999999,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 21.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,13,0.7013725284487009,3,3,5,54.55555555555556,56.99999999999999,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 22.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,14,1.1022843858227134,3,3,5,54.666666666666664,56.99999999999999,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 24.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,15,1.7040584860369563,3,3,5,54.77777777777778,56.99999999999999,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 25.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,16,2.537640712223947,3,3,5,54.888888888888886,56.99999999999999,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 26.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,900,1407,17,3.639281077310443,3,3,5,55.333333333333336,56.99999999999999,[ $PercentTradesWBalance \ge 12.5 \eq 0$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance \ge 28.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
