fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,1407,5,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,6,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,7,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,8,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,9,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,10,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,11,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,12,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,13,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,14,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,15,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,16,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,17,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,18,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,19,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,20,0.0,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,22,0.0,2,2,3,57.22222222222222,59.0,[ $PercentTradesWBalance \ge 34.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,24,0.0,2,2,3,57.55555555555556,59.0,[ $PercentTradesWBalance \ge 37.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,26,0.0,2,2,3,58.333333333333336,59.0,[ $PercentTradesWBalance \ge 38.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,28,0.0010000000474974513,2,2,3,59.111111111111114,63.0,[ $PercentTradesWBalance \ge 41.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,30,0.0010000000474974513,2,2,3,59.77777777777777,65.0,[ $PercentTradesWBalance \ge 43.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,32,0.0010000000474974513,2,2,3,59.77777777777777,65.0,[ $PercentTradesWBalance \ge 43.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,34,0.0010000000474974513,2,2,3,59.77777777777777,65.0,[ $PercentTradesWBalance \ge 43.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,36,0.0010000000474974513,2,2,3,59.88888888888889,67.0,[ $PercentTradesWBalance \ge 48.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,38,0.0010000000474974513,2,2,3,62.11111111111111,72.0,[ $PercentTradesWBalance \ge 52.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,40,0.0010000000474974513,2,2,3,62.33333333333333,74.0,[ $PercentTradesWBalance \ge 53.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,42,0.0010000000474974513,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,44,0.0020000000949949026,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,46,0.0020000000949949026,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,48,0.0020000000949949026,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,50,0.0020000000949949026,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,52,0.0020000000949949026,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,54,0.003000000026077032,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,56,0.003000000026077032,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,58,0.003000000026077032,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,60,0.004000000189989805,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,65,0.004000000189989805,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,70,0.004999999888241291,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,75,0.004999999888241291,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,80,0.020999999716877937,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,85,0.052000001072883606,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,90,0.07999999821186066,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,95,1.4119999408721924,2,2,3,62.88888888888889,73.0,[ $PercentTradesWBalance \ge 55.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,100,2.631999969482422,2,2,3,65.11111111111111,69.0,[ $ExternalRiskEstimate \ge 66.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,105,4.0,2,2,3,69.0,76.0,[ $ExternalRiskEstimate \ge 70.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,110,40.51300048828125,2,2,3,70.33333333333334,75.0,[ $ExternalRiskEstimate \ge 73.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,120,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,130,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,140,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,150,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,160,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,170,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,180,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,190,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,210,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,220,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,230,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,240,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,250,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,260,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,270,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,280,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,290,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,300,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,325,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,350,-1,-1,-1,-1,-1,-1,NA
NA,900,1407,375,-1,-1,-1,-1,-1,-1,NA
