fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,1407,5,0.03660677932202816,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,6,0.03684297110885382,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,7,0.035762238781899214,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,8,0.0363196381367743,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,9,0.037311258260160685,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,10,0.03769379993900657,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,11,0.04045427776873112,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,12,0.04208058770745993,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,13,0.05116110388189554,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,14,0.056064647156745195,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,15,0.04341358412057161,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,16,0.04666831064969301,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,17,0.04261560784652829,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,18,0.05576052190735936,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,19,0.05615319591015577,2,2,3,55.55555555555556,56.99999999999999,[ $PercentTradesWBalance \ge 30.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,20,0.06347876088693738,2,2,3,55.666666666666664,56.99999999999999,[ $PercentTradesWBalance \ge 31.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
