fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,900,1407,5,0.0190054252743721,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,6,0.018057688139379025,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,7,0.020566070917993784,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,8,0.022436569910496473,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,9,0.025236255954951048,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,10,0.02710087224841118,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,11,0.029150144197046757,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,12,0.032465638127177954,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,13,0.035011114086955786,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,14,0.03690615715458989,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,15,0.039235263131558895,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,16,0.04178137797862291,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,17,0.056866762693971395,1,1,1,53.333333333333336,55.00000000000001,[ $class$ [ $1$ ] ]
NA,900,1407,18,0.058353353291749954,2,2,3,55.333333333333336,56.99999999999999,[ $PercentTradesWBalance \ge 29.5 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,900,1407,19,0.06227788096293807,2,2,3,55.55555555555556,56.99999999999999,[ $PercentTradesWBalance \ge 30.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,20,0.0650559077039361,2,2,3,55.666666666666664,56.99999999999999,[ $PercentTradesWBalance \ge 31.5 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,900,1407,22,0.07119678892195225,2,2,3,57.22222222222222,59.0,[ $PercentTradesWBalance \ge 34.0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
