fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.0045295893214643,2,2,3,72.5925925925926,73.33333333333333,[ $sepal_length \ge 4.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,6,0.006417692173272371,2,2,3,74.07407407407408,73.33333333333333,[ $sepal_length \ge 4.75 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,7,0.005037741735577583,2,2,3,77.77777777777779,73.33333333333333,[ $sepal_length \ge 4.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,8,0.005487164948135614,2,2,3,78.51851851851852,80.0,[ $sepal_length \ge 4.95 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,9,0.01147719006985426,2,2,3,82.96296296296296,80.0,[ $sepal_length \ge 5.05 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,10,0.007531503681093454,2,2,3,86.66666666666667,93.33333333333333,[ $sepal_length \ge 5.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,11,0.007435701787471771,2,2,3,88.14814814814815,93.33333333333333,[ $sepal_length \ge 5.25 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,12,0.013163140043616295,2,2,3,88.88888888888889,93.33333333333333,[ $sepal_length \ge 5.35 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,13,0.008529067039489746,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,14,0.009278592187911272,2,2,3,91.85185185185185,93.33333333333333,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
