fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.15127009013667703,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,6,0.004128559026867151,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,7,0.005757079925388098,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,8,0.012761634308844805,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,9,0.03434885013848543,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,10,0.06922023510560393,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,11,0.13534594513475895,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,12,0.24112915201112628,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,13,0.4134498327039182,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,14,0.6653395001776516,3,3,5,69.62962962962963,60.0,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.55 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,15,1.0202726642601192,3,3,5,71.85185185185186,66.66666666666666,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.65 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,16,1.5429468951188028,3,3,5,73.33333333333333,66.66666666666666,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.75 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
