fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.00462496280670166,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,6,0.004805402364581823,1,1,1,67.4074074074074,60.0,[ $class$ [ $0$ ] ]
NA,135,123,7,0.005355161149054766,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,8,0.005875390022993088,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 4.85 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,9,0.006632122211158276,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 5.05 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,10,0.007097816094756126,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 5.15 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,11,0.007686990778893232,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 5.25 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,12,0.008513924200087786,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 5.35 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,13,0.008807392325252295,2,2,3,67.4074074074074,60.0,[ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,14,0.028335433918982744,3,3,5,69.62962962962963,60.0,[ $sepal_length \ge 5.55 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,15,0.018473972100764513,3,3,5,71.85185185185186,66.66666666666666,[ $sepal_length \ge 5.45 \eq 0$ [ $sepal_length \ge 5.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,16,0.03342639282345772,3,3,5,73.33333333333333,66.66666666666666,[ $sepal_length \ge 5.75 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,17,0.036845422349870205,3,3,5,73.33333333333333,66.66666666666666,[ $sepal_length \ge 5.75 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,135,123,18,0.040057070553302765,3,3,5,73.33333333333333,66.66666666666666,[ $sepal_length \ge 5.75 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,19,0.3146530007943511,3,3,5,74.07407407407408,73.33333333333333,[ $sepal_length \ge 6.05 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,20,0.3388907597400248,3,3,5,75.55555555555556,73.33333333333333,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $0$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,22,0.4405326093547046,3,3,5,48.888888888888886,46.666666666666664,[ $sepal_length \ge 6.25 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.45 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,24,0.6322066392749548,3,3,5,48.888888888888886,46.666666666666664,[ $sepal_length \ge 6.25 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,26,0.6832162751816213,3,3,5,48.888888888888886,46.666666666666664,[ $sepal_length \ge 6.25 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,28,0.7933577541261911,3,3,5,48.888888888888886,46.666666666666664,[ $sepal_length \ge 6.25 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,30,71.92630096711218,3,3,5,48.888888888888886,46.666666666666664,[ $sepal_length \ge 6.25 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,32,85.82782344473526,3,3,5,48.888888888888886,46.666666666666664,[ $sepal_length \ge 6.25 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,135,123,34,101.57033478375524,3,3,5,48.888888888888886,46.666666666666664,[ $sepal_length \ge 6.25 \eq 0$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
