fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,135,123,5,0.0043825386092066765,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,6,0.004566530231386423,1,1,1,65.92592592592592,73.33333333333333,[ $class$ [ $0$ ] ]
NA,135,123,7,0.007452683057636023,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.85 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,8,0.008232988882809877,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 4.95 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,9,0.009149204939603806,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 5.05 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,10,0.010026430245488882,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 5.15 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,11,0.01100479206070304,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 5.25 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,12,0.012282952200621367,2,2,3,65.92592592592592,73.33333333333333,[ $sepal_length \ge 5.35 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,13,0.008671096060425043,2,2,3,68.14814814814815,53.333333333333336,[ $sepal_length \ge 5.45 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,14,0.009058884810656309,2,2,3,71.85185185185186,66.66666666666666,[ $sepal_length \ge 5.55 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,15,0.01637747185304761,2,2,3,74.07407407407408,73.33333333333333,[ $sepal_length \ge 5.65 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,16,0.010358960833400488,2,2,3,78.51851851851852,73.33333333333333,[ $sepal_length \ge 5.75 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,135,123,17,0.017516830004751682,2,2,3,79.25925925925927,73.33333333333333,[ $sepal_length \ge 5.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,18,0.01909744879230857,2,2,3,79.25925925925927,73.33333333333333,[ $sepal_length \ge 5.85 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,19,0.02061213692650199,2,2,3,80.74074074074075,80.0,[ $sepal_length \ge 6.05 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,20,0.022356887347996235,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,22,0.02540794899687171,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,24,0.028127113357186317,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,26,0.03123305505141616,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,28,0.033882672898471355,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,30,0.03705031890422106,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,32,0.03942170273512602,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,34,0.043010396882891655,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,36,0.045575212221592665,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,38,1.3535129139199853,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,135,123,40,1.4795270361937582,2,2,3,82.22222222222221,80.0,[ $sepal_length \ge 6.15 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
