fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,14,28,-1,-1,-1,-1,-1,-1,NA
NA,2,14,28,-1,-1,-1,-1,-1,-1,NA
NA,3,14,28,0.21749093616381288,6,32,63,100.0,42.303664921465966,[ $Bar3 \eq 0$ [ $age1 \eq 1$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,4,14,28,302.5183254838921,6,32,63,75.0,54.05971712938711,[ $age2 \eq 1$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $age1 \eq 0$ [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $age1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,5,14,28,-1,-1,-1,-1,-1,-1,NA
NA,6,14,28,-1,-1,-1,-1,-1,-1,NA
NA,7,14,28,-1,-1,-1,-1,-1,-1,NA
NA,8,14,28,-1,-1,-1,-1,-1,-1,NA
NA,9,14,28,-1,-1,-1,-1,-1,-1,NA
NA,10,14,28,-1,-1,-1,-1,-1,-1,NA
NA,11,14,28,-1,-1,-1,-1,-1,-1,NA
NA,12,14,28,-1,-1,-1,-1,-1,-1,NA
NA,13,14,28,-1,-1,-1,-1,-1,-1,NA
NA,14,14,28,-1,-1,-1,-1,-1,-1,NA
NA,15,14,28,-1,-1,-1,-1,-1,-1,NA
NA,16,14,28,-1,-1,-1,-1,-1,-1,NA
NA,17,14,28,-1,-1,-1,-1,-1,-1,NA
NA,18,14,28,-1,-1,-1,-1,-1,-1,NA
NA,19,14,28,-1,-1,-1,-1,-1,-1,NA
NA,20,14,28,-1,-1,-1,-1,-1,-1,NA
NA,22,14,28,-1,-1,-1,-1,-1,-1,NA
NA,24,14,28,-1,-1,-1,-1,-1,-1,NA
NA,26,14,28,-1,-1,-1,-1,-1,-1,NA
NA,28,14,28,-1,-1,-1,-1,-1,-1,NA
NA,30,14,28,-1,-1,-1,-1,-1,-1,NA
NA,32,14,28,-1,-1,-1,-1,-1,-1,NA
NA,34,14,28,-1,-1,-1,-1,-1,-1,NA
NA,36,14,28,-1,-1,-1,-1,-1,-1,NA
NA,38,14,28,-1,-1,-1,-1,-1,-1,NA
NA,40,14,28,-1,-1,-1,-1,-1,-1,NA
NA,45,14,28,-1,-1,-1,-1,-1,-1,NA
NA,50,14,28,-1,-1,-1,-1,-1,-1,NA
NA,55,14,28,-1,-1,-1,-1,-1,-1,NA
NA,60,14,28,-1,-1,-1,-1,-1,-1,NA
NA,65,14,28,-1,-1,-1,-1,-1,-1,NA
NA,70,14,28,-1,-1,-1,-1,-1,-1,NA
NA,75,14,28,-1,-1,-1,-1,-1,-1,NA
NA,80,14,28,-1,-1,-1,-1,-1,-1,NA
NA,85,14,28,-1,-1,-1,-1,-1,-1,NA
NA,90,14,28,-1,-1,-1,-1,-1,-1,NA
NA,100,14,28,-1,-1,-1,-1,-1,-1,NA
NA,110,14,28,-1,-1,-1,-1,-1,-1,NA
NA,120,14,28,-1,-1,-1,-1,-1,-1,NA
NA,130,14,28,-1,-1,-1,-1,-1,-1,NA
NA,140,14,28,-1,-1,-1,-1,-1,-1,NA
NA,150,14,28,-1,-1,-1,-1,-1,-1,NA
NA,160,14,28,-1,-1,-1,-1,-1,-1,NA
NA,170,14,28,-1,-1,-1,-1,-1,-1,NA
NA,180,14,28,-1,-1,-1,-1,-1,-1,NA
NA,200,14,28,-1,-1,-1,-1,-1,-1,NA
NA,220,14,28,-1,-1,-1,-1,-1,-1,NA
NA,240,14,28,-1,-1,-1,-1,-1,-1,NA
NA,260,14,28,-1,-1,-1,-1,-1,-1,NA
NA,280,14,28,-1,-1,-1,-1,-1,-1,NA
NA,300,14,28,-1,-1,-1,-1,-1,-1,NA
NA,325,14,28,-1,-1,-1,-1,-1,-1,NA
NA,350,14,28,-1,-1,-1,-1,-1,-1,NA
NA,375,14,28,-1,-1,-1,-1,-1,-1,NA
NA,400,14,28,-1,-1,-1,-1,-1,-1,NA
NA,425,14,28,-1,-1,-1,-1,-1,-1,NA
NA,450,14,28,-1,-1,-1,-1,-1,-1,NA
NA,475,14,28,-1,-1,-1,-1,-1,-1,NA
NA,500,14,28,-1,-1,-1,-1,-1,-1,NA
NA,550,14,28,-1,-1,-1,-1,-1,-1,NA
NA,600,14,28,-1,-1,-1,-1,-1,-1,NA
NA,650,14,28,-1,-1,-1,-1,-1,-1,NA
NA,700,14,28,-1,-1,-1,-1,-1,-1,NA
NA,750,14,28,-1,-1,-1,-1,-1,-1,NA
NA,800,14,28,-1,-1,-1,-1,-1,-1,NA
NA,850,14,28,-1,-1,-1,-1,-1,-1,NA
NA,900,14,28,-1,-1,-1,-1,-1,-1,NA
NA,950,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1000,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1100,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1200,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1300,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1400,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1500,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1600,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1700,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1800,14,28,-1,-1,-1,-1,-1,-1,NA
NA,1900,14,28,-1,-1,-1,-1,-1,-1,NA
