fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,14,28,0.002539107110351324,1,1,1,0.0,58.838912133891206,[ $class$ [ $0$ ] ]
NA,2,14,28,0.002488100901246071,2,2,3,100.0,54.57875457875458,[ $age2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,14,28,0.0026099388487637043,2,2,3,100.0,54.55497382198953,[ $age2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,14,28,0.002514542080461979,3,3,5,75.0,54.58355159769512,[ $age2 \eq 1$ [ $age1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,5,14,28,0.003158358857035637,3,3,5,80.0,45.59748427672956,[ $age3 \eq 1$ [ $age1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,6,14,28,0.00262118736281991,3,3,5,66.66666666666666,57.00052438384898,[ $age3 \eq 1$ [ $Bar3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,7,14,28,0.0026143770664930344,3,3,5,71.42857142857143,52.833158447009446,[ $age6 \eq 1$ [ $age5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,8,14,28,0.002710551954805851,3,3,5,62.5,52.86089238845144,[ $age6 \eq 0$ [ $class$ [ $1$ ] ] [ $direction_same \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,9,14,28,0.002556863706558943,3,3,5,66.66666666666666,64.60084033613445,[ $Bar0 \eq 1$ [ $direction_same \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,10,14,28,0.0025553209707140923,3,3,5,70.0,52.81135049921177,[ $age6 \eq 0$ [ $class$ [ $1$ ] ] [ $direction_same \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,11,14,28,0.002571966964751482,3,3,5,63.63636363636363,58.78023133543638,[ $age5 \eq 1$ [ $age3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,12,14,28,0.0025776377879083157,3,3,5,75.0,53.813782219884274,[ $passanger2 \eq 0$ [ $class$ [ $0$ ] ] [ $age6 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,13,14,28,0.002552557736635208,3,3,5,69.23076923076923,58.73684210526315,[ $age0 \eq 1$ [ $age3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,14,14,28,0.0025742496363818645,3,3,5,71.42857142857143,60.716166403370195,[ $Restaurant20to50 \ge 4 \eq 0$ [ $class$ [ $1$ ] ] [ $age0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,15,14,28,0.0025755781680345535,3,3,5,73.33333333333333,60.695468914647,[ $Restaurant20to50 \ge 4 \eq 1$ [ $age3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,16,14,28,0.0025871889665722847,3,3,5,75.0,60.6747496046389,[ $Restaurant20to50 \ge 4 \eq 0$ [ $class$ [ $1$ ] ] [ $age3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,17,14,28,0.0025541959330439568,3,3,5,76.47058823529412,60.654008438818565,[ $Restaurant20to50 \ge 4 \eq 1$ [ $age0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,18,14,28,0.002581105101853609,3,3,5,72.22222222222221,60.68601583113457,[ $Restaurant20to50 \ge 4 \eq 0$ [ $class$ [ $1$ ] ] [ $age6 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,19,14,28,0.0026060049422085285,3,3,5,73.68421052631578,65.1531151003168,[ $Bar0 \eq 0$ [ $passanger2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,20,14,28,0.002509878948330879,3,3,5,75.0,65.13470681458003,[ $Bar0 \eq 1$ [ $class$ [ $0$ ] ] [ $passanger2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,22,14,28,0.00257633114233613,3,3,5,77.27272727272727,65.09783183500794,[ $Bar0 \eq 0$ [ $passanger2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,24,14,28,0.0025355503894388676,3,3,5,79.16666666666666,65.06087877183695,[ $Bar0 \eq 1$ [ $class$ [ $0$ ] ] [ $passanger2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,26,14,28,0.0025900420732796192,3,3,5,76.92307692307693,65.07684154742978,[ $Bar0 \eq 0$ [ $passanger2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,28,14,28,0.00255504809319973,3,3,5,75.0,65.09283819628648,[ $Bar0 \eq 0$ [ $passanger2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,30,14,28,0.002676305826753378,3,3,5,70.0,61.39139670738184,[ $Bar0 \eq 0$ [ $class$ [ $1$ ] ] [ $Bar3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,32,14,28,0.0025362041778862476,3,3,5,68.75,58.0542264752791,[ $Restaurant20to50 \ge 4 \eq 1$ [ $Bar3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
