fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,14,28,0.0,1,1,1,100.0,41.16108786610879,[ $class$ [ $1$ ] ]
NA,2,14,28,0.0,2,2,3,100.0,41.65358451072737,[ $age1  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,14,28,0.0,2,2,3,100.0,54.55497382198953,[ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,14,28,0.0,2,2,3,75.0,54.58355159769512,[ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,14,28,0.0,2,2,3,80.0,45.073375262054505,[ $age3  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,14,28,0.0020000000949949026,3,4,7,83.33333333333334,47.24698479286838,[ $age2  \eq  1$ [ $Bar3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age3  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,7,14,28,0.003000000026077032,3,4,7,85.71428571428571,50.78698845750262,[ $age2  \eq  1$ [ $Bar3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,8,14,28,0.007000000216066837,4,5,9,87.5,48.60892388451444,[ $age2  \eq  1$ [ $Bar3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age3  \eq  1$ [ $class$ [ $0$ ] ] [ $age5  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,9,14,28,0.00800000037997961,5,5,9,88.88888888888889,46.32352941176471,[ $age3  \eq  1$ [ $class$ [ $0$ ] ] [ $age5  \eq  1$ [ $class$ [ $0$ ] ] [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $direction_same  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
NA,10,14,28,0.017000000923871994,5,6,11,90.0,49.08039936941671,[ $age1  \eq  1$ [ $class$ [ $0$ ] ] [ $age2  \eq  1$ [ $Bar3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age3  \eq  1$ [ $class$ [ $0$ ] ] [ $age5  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
NA,11,14,28,0.02800000086426735,3,4,7,81.81818181818183,53.68033648790747,[ $direction_same  \eq  1$ [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,12,14,28,0.06700000166893005,3,4,7,83.33333333333334,53.655970541820096,[ $direction_same  \eq  1$ [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,13,14,28,0.07400000095367432,3,4,7,84.61538461538461,53.63157894736842,[ $direction_same  \eq  1$ [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,14,14,28,0.18700000643730164,4,5,9,85.71428571428571,56.08214849921011,[ $Restaurant20to50 \ge 4$ [ $class$ [ $1$ ] ] [ $direction_same  \eq  1$ [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,15,14,28,0.15700000524520874,4,5,9,86.66666666666667,56.05900948366702,[ $Restaurant20to50 \ge 4$ [ $class$ [ $1$ ] ] [ $direction_same  \eq  1$ [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,16,14,28,0.3059999942779541,4,5,9,87.5,56.035846072746445,[ $Restaurant20to50 \ge 4$ [ $class$ [ $1$ ] ] [ $direction_same  \eq  1$ [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,17,14,28,0.08299999684095383,4,5,9,88.23529411764706,56.0126582278481,[ $Restaurant20to50 \ge 4$ [ $class$ [ $1$ ] ] [ $direction_same  \eq  1$ [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,18,14,28,0.08699999749660492,4,5,9,83.33333333333334,56.04221635883905,[ $Restaurant20to50 \ge 4$ [ $class$ [ $1$ ] ] [ $direction_same  \eq  1$ [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age2  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,19,14,28,0.13600000739097595,3,3,5,73.68421052631578,65.1531151003168,[ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,20,14,28,0.12999999523162842,3,3,5,75.0,65.13470681458003,[ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,22,14,28,0.05900000035762787,3,3,5,77.27272727272727,65.09783183500794,[ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,24,14,28,0.1080000028014183,3,3,5,79.16666666666666,65.06087877183695,[ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,26,14,28,0.023000000044703484,3,3,5,76.92307692307693,65.07684154742978,[ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,28,14,28,0.04699999839067459,4,4,7,78.57142857142857,59.25729442970822,[ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,30,14,28,0.414000004529953,5,6,11,83.33333333333334,57.83324482209241,[ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $age0  \eq  1$ [ $Restaurant20to50 \ge 4$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,32,14,28,0.2750000059604645,5,6,11,81.25,57.84157363104732,[ $passanger2  \eq  1$ [ $class$ [ $0$ ] ] [ $age0  \eq  1$ [ $Restaurant20to50 \ge 4$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age6  \eq  1$ [ $class$ [ $1$ ] ] [ $Bar0  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
