fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,14,28,0.0023041097447276115,1,1,1,0.0,58.838912133891206,[ $class$ [ $0$ ] ]
NA,2,14,28,0.002327808178961277,2,2,3,100.0,54.57875457875458,[ $age2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,14,28,0.0033880993723869324,2,2,3,100.0,54.55497382198953,[ $age2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,14,28,0.008017249871045351,2,2,3,75.0,54.58355159769512,[ $age2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,14,28,0.008016665931791067,2,2,3,80.0,45.073375262054505,[ $age3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,14,28,0.13227734807878733,4,4,7,66.66666666666666,44.41531200839014,[ $direction_same \eq 0$ [ $class$ [ $1$ ] ] [ $Bar0 \eq 0$ [ $class$ [ $0$ ] ] [ $age3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,7,14,28,0.15348129579797387,4,4,7,71.42857142857143,56.97796432318992,[ $Bar3 \eq 0$ [ $class$ [ $0$ ] ] [ $age3 \eq 0$ [ $class$ [ $1$ ] ] [ $Bar0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,8,14,28,4.40266345301643,5,5,9,75.0,47.61154855643044,[ $direction_same \eq 1$ [ $class$ [ $0$ ] ] [ $Bar0 \eq 1$ [ $class$ [ $1$ ] ] [ $age5 \eq 1$ [ $class$ [ $0$ ] ] [ $age3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ]
NA,9,14,28,6.091898340266198,4,5,9,77.77777777777779,45.535714285714285,[ $direction_same \eq 0$ [ $age5 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Bar0 \eq 0$ [ $class$ [ $0$ ] ] [ $age3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ]
NA,10,14,28,77.69519819878042,6,6,11,60.0,41.8286915396742,[ $direction_same \eq 0$ [ $class$ [ $1$ ] ] [ $age1 \eq 0$ [ $age6 \eq 0$ [ $age5 \eq 1$ [ $class$ [ $0$ ] ] [ $age3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,11,14,28,-1,-1,-1,-1,-1,-1,NA
NA,12,14,28,303.19683803478256,6,6,11,58.333333333333336,45.60757496054708,[ $age1 \eq 0$ [ $age3 \eq 0$ [ $class$ [ $1$ ] ] [ $age0 \eq 0$ [ $class$ [ $0$ ] ] [ $age5 \eq 1$ [ $class$ [ $0$ ] ] [ $passanger2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,13,14,28,303.1641835249029,3,3,5,38.46153846153847,45.21052631578947,[ $age3 \eq 0$ [ $class$ [ $1$ ] ] [ $Bar3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,14,14,28,-1,-1,-1,-1,-1,-1,NA
NA,15,14,28,-1,-1,-1,-1,-1,-1,NA
NA,16,14,28,-1,-1,-1,-1,-1,-1,NA
NA,17,14,28,-1,-1,-1,-1,-1,-1,NA
NA,18,14,28,-1,-1,-1,-1,-1,-1,NA
NA,19,14,28,-1,-1,-1,-1,-1,-1,NA
NA,20,14,28,-1,-1,-1,-1,-1,-1,NA
NA,22,14,28,-1,-1,-1,-1,-1,-1,NA
NA,24,14,28,-1,-1,-1,-1,-1,-1,NA
NA,26,14,28,-1,-1,-1,-1,-1,-1,NA
NA,28,14,28,-1,-1,-1,-1,-1,-1,NA
NA,30,14,28,-1,-1,-1,-1,-1,-1,NA
NA,32,14,28,-1,-1,-1,-1,-1,-1,NA
NA,34,14,28,-1,-1,-1,-1,-1,-1,NA
NA,36,14,28,-1,-1,-1,-1,-1,-1,NA
NA,38,14,28,-1,-1,-1,-1,-1,-1,NA
NA,40,14,28,-1,-1,-1,-1,-1,-1,NA
NA,45,14,28,-1,-1,-1,-1,-1,-1,NA
NA,50,14,28,-1,-1,-1,-1,-1,-1,NA
NA,55,14,28,-1,-1,-1,-1,-1,-1,NA
NA,60,14,28,-1,-1,-1,-1,-1,-1,NA
NA,65,14,28,-1,-1,-1,-1,-1,-1,NA
NA,70,14,28,-1,-1,-1,-1,-1,-1,NA
NA,75,14,28,-1,-1,-1,-1,-1,-1,NA
NA,80,14,28,-1,-1,-1,-1,-1,-1,NA
NA,85,14,28,-1,-1,-1,-1,-1,-1,NA
NA,90,14,28,-1,-1,-1,-1,-1,-1,NA
NA,100,14,28,-1,-1,-1,-1,-1,-1,NA
NA,110,14,28,-1,-1,-1,-1,-1,-1,NA
NA,120,14,28,-1,-1,-1,-1,-1,-1,NA
NA,130,14,28,-1,-1,-1,-1,-1,-1,NA
NA,140,14,28,-1,-1,-1,-1,-1,-1,NA
NA,150,14,28,-1,-1,-1,-1,-1,-1,NA
NA,160,14,28,-1,-1,-1,-1,-1,-1,NA
NA,170,14,28,-1,-1,-1,-1,-1,-1,NA
NA,180,14,28,-1,-1,-1,-1,-1,-1,NA
NA,200,14,28,-1,-1,-1,-1,-1,-1,NA
NA,220,14,28,-1,-1,-1,-1,-1,-1,NA
NA,240,14,28,-1,-1,-1,-1,-1,-1,NA
