fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,14,28,0.04447488393634558,1,1,1,100.0,41.16108786610879,[ $class$ [ $1$ ] ]
NA,2,14,28,0.0342323649674654,2,2,3,100.0,55.67765567765568,[ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,3,14,28,0.03662048699334264,2,2,3,100.0,54.55497382198953,[ $feature_6  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,14,28,0.03623234713450074,2,2,3,75.0,54.58355159769512,[ $feature_6  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,14,28,0.03656699415296316,2,2,3,80.0,45.073375262054505,[ $feature_9  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,14,28,0.09610222699120641,4,4,7,83.33333333333334,62.768746722600945,[ $feature_8  \eq  1$ [ $feature_17  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,7,14,28,0.23172706179320812,4,4,7,85.71428571428571,62.749213011542494,[ $feature_17  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_8  \eq  1$ [ $feature_23  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,8,14,28,0.38994196290150285,5,5,9,87.5,48.818897637795274,[ $feature_13  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_8  \eq  1$ [ $feature_17  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,9,14,28,0.5584073239006102,5,5,9,88.88888888888889,48.94957983193277,[ $feature_17  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_13  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_9  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_26  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,10,14,28,1.4503020350821316,6,6,11,90.0,46.34787178139779,[ $feature_17  \eq  1$ [ $class$ [ $1$ ] ] [ $feature_13  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_19  \eq  1$ [ $class$ [ $0$ ] ] [ $feature_8  \eq  1$ [ $feature_27  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ] ] ]
NA,11,14,28,2.633413344155997,3,4,7,81.81818181818183,56.256572029442694,[ $feature_26  \eq  1$ [ $feature_7  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $feature_16  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
