fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,6,12,0.0034329891204833984,1,1,1,0.0,55.269974098425976,[ $class$ [ $0$ ] ]
NA,2,6,12,0.0023932550102472305,1,1,1,50.0,55.26106018333997,[ $class$ [ $0$ ] ]
NA,3,6,12,0.002468715887516737,1,1,1,66.66666666666666,44.72792505481363,[ $class$ [ $1$ ] ]
NA,4,6,13,0.0024979403242468834,3,3,5,75.0,62.00159489633174,[ $prior=0 \eq 1$ [ $age \ge 40.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,5,6,14,0.0030107558704912663,3,3,5,80.0,61.99401794616152,[ $prior=0 \eq 1$ [ $age \ge 40.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,6,6,15,0.0024694628082215786,3,3,5,83.33333333333334,62.4252094136418,[ $prior=0 \eq 0$ [ $class$ [ $0$ ] ] [ $age \ge 35.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,7,6,16,0.0024995640851557255,3,3,5,85.71428571428571,65.74905246359467,[ $age \ge 23.0$ [ $class$ [ $1$ ] ] [ $prior>3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,8,6,17,0.0024904897436499596,3,3,5,87.5,57.58180367118915,[ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $age \ge 21.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,9,6,18,0.0025736652314662933,3,3,5,77.77777777777779,62.382757932548394,[ $age \ge 32.0$ [ $prior=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,10,6,19,0.0025044777430593967,3,3,5,80.0,62.37524950099801,[ $age \ge 32.0$ [ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,11,6,19,0.002529882825911045,3,3,5,81.81818181818183,62.36773807147136,[ $prior=0 \eq 1$ [ $age \ge 32.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,12,6,20,0.0024967151693999767,3,3,5,75.0,62.38019169329073,[ $age \ge 32.0$ [ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,13,6,21,0.002472328022122383,3,3,5,76.92307692307693,62.372678250449376,[ $age \ge 32.0$ [ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,14,6,22,0.00260472996160388,3,3,5,78.57142857142857,62.365161805833004,[ $age \ge 32.0$ [ $prior=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,15,6,23,0.0024784565903246403,3,3,5,80.0,62.35764235764236,[ $age \ge 32.0$ [ $prior=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,16,6,24,0.0025228410959243774,3,3,5,81.25,62.35011990407674,[ $age \ge 32.0$ [ $prior=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,17,6,25,0.0026987819001078606,3,3,5,82.35294117647058,62.342594443334,[ $age \ge 32.0$ [ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,18,6,26,0.0024567455984652042,3,3,5,83.33333333333334,62.33506597361056,[ $age \ge 32.0$ [ $prior=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,19,6,27,0.002551162149757147,3,3,5,84.21052631578947,62.327534493101375,[ $age \ge 32.0$ [ $prior=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,20,6,28,0.0024750460870563984,3,3,5,85.0,62.32,[ $age \ge 32.0$ [ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,22,6,29,0.0025295750238001347,3,3,5,81.81818181818183,62.324929971988794,[ $age \ge 32.0$ [ $prior=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,24,6,31,0.002549912314862013,3,3,5,83.33333333333334,62.67013610888711,[ $age \ge 32.5$ [ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,26,6,32,0.0025399690493941307,3,3,5,80.76923076923077,62.67521025230276,[ $age \ge 32.5$ [ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,28,6,33,0.0025489293038845062,3,3,5,71.42857142857143,59.635416666666664,[ $juv_crime \ge 1.0$ [ $prior=0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,30,6,35,0.002525283955037594,3,3,5,76.66666666666667,54.64929859719439,[ $age \ge 32.5$ [ $age \ge 27.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,32,6,37,0.0025344351306557655,3,3,5,78.125,54.63111467522053,[ $age \ge 32.5$ [ $age \ge 27.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,34,6,39,0.002566940151154995,3,3,5,79.41176470588235,62.47492980344966,[ $age \ge 37.5$ [ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,36,6,40,0.00262648006901145,3,3,5,77.77777777777779,52.84911717495987,[ $age \ge 37.5$ [ $age \ge 27.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,38,6,41,0.002548424992710352,3,3,5,78.94736842105263,54.59654757125653,[ $age \ge 32.5$ [ $age \ge 27.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,40,6,41,0.002575904130935669,3,3,5,80.0,62.630522088353416,[ $age \ge 32.5$ [ $prior=0 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,45,6,45,0.002958896104246378,3,3,5,80.0,62.61306532663317,[ $age \ge 32.5$ [ $prior=0 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,50,6,45,0.002633329015225172,3,3,5,78.0,65.65392354124748,[ $prior>3 \eq 0$ [ $class$ [ $1$ ] ] [ $age \ge 22.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,55,6,46,0.0026351609267294407,3,3,5,72.72727272727273,62.03423967774421,[ $age \ge 32.5$ [ $prior>3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,60,6,47,0.0026751430705189705,3,3,5,70.0,62.96370967741935,[ $age \ge 37.5$ [ $prior>3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,65,6,49,0.0026162262074649334,3,3,5,67.6923076923077,61.5539858728557,[ $age \ge 32.0$ [ $prior>3 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,70,6,49,0.00255722738802433,3,3,5,65.71428571428571,58.020202020202014,[ $age \ge 32.0$ [ $class$ [ $1$ ] ] [ $prior=0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
