fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,6,12,0.1588070630095899,1,1,1,0.0,55.269974098425976,[ $class$ [ $0$ ] ]
NA,2,6,12,0.004142340738326311,1,1,1,50.0,55.26106018333997,[ $class$ [ $0$ ] ]
NA,3,6,12,0.0019012251868844032,1,1,1,66.66666666666666,44.72792505481363,[ $class$ [ $1$ ] ]
NA,4,6,13,0.002275880891829729,2,2,3,75.0,41.74641148325359,[ $age \ge 27.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,6,14,0.003467041999101639,2,2,3,80.0,56.96909272183449,[ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,6,15,0.005908086895942688,2,2,3,83.33333333333334,56.96051057040287,[ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,6,16,0.005520679987967014,3,3,5,85.71428571428571,57.5902653101935,[ $age \ge 21.5$ [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,8,6,17,0.01833620062097907,3,3,5,87.5,57.58180367118915,[ $age \ge 21.5$ [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,9,6,18,0.028386613354086876,3,4,7,88.88888888888889,58.01237277988426,[ $age \ge 24.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 23.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,10,6,19,0.04147061100229621,3,4,7,90.0,58.003992015968066,[ $age \ge 24.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 23.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,11,6,19,0.05448963213711977,3,3,5,81.81818181818183,62.36773807147136,[ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,12,6,20,0.10239680809900165,3,4,7,83.33333333333334,58.00718849840255,[ $age \ge 24.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 23.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,13,6,21,0.15111407497897744,3,4,7,84.61538461538461,57.998801677651294,[ $age \ge 24.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 23.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,14,6,22,0.20043247379362583,3,4,7,85.71428571428571,57.99041150619257,[ $age \ge 24.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 23.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,15,6,23,0.28659502090886235,3,4,7,86.66666666666667,57.982017982017986,[ $age \ge 24.5$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 23.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
