fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,6,12,0.0,1,1,1,100.0,44.73002590157402,[ $class$ [ $1$ ] ]
NA,2,6,12,0.0,2,2,3,100.0,45.19728975687525,[ $age  \eq  51$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,6,12,0.0,1,1,1,66.66666666666666,44.72792505481363,[ $class$ [ $1$ ] ]
NA,4,6,13,0.0,2,2,3,75.0,41.866028708133975,[ $age  \ge  30$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,6,14,0.0,2,2,3,80.0,56.96909272183449,[ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,6,15,0.0,2,2,3,83.33333333333334,56.96051057040287,[ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,6,16,0.0,3,3,5,85.71428571428571,56.732495511669654,[ $age  \ge  24$ [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,8,6,17,0.0010000000474974513,3,3,5,87.5,56.72386272944932,[ $age  \ge  24$ [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,9,6,18,0.0010000000474974513,4,4,7,88.88888888888889,62.6621432847735,[ $age  \ge  24$ [ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,10,6,19,0.0020000000949949026,3,4,7,90.0,57.964071856287426,[ $age  \ge  25$ [ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age  \ge  24$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,11,6,19,0.0020000000949949026,3,3,5,81.81818181818183,62.88680375324416,[ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,12,6,20,0.003000000026077032,4,4,7,83.33333333333334,63.37859424920128,[ $age  \ge  21$ [ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,13,6,21,0.003000000026077032,4,4,7,84.61538461538461,63.371280207709205,[ $age  \ge  21$ [ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,14,6,22,0.003000000026077032,4,4,7,85.71428571428571,62.644826208549745,[ $age  \ge  24$ [ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,15,6,23,0.003000000026077032,4,4,7,86.66666666666667,62.637362637362635,[ $age  \ge  24$ [ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,16,6,24,0.0020000000949949026,3,4,7,87.5,57.93365307753797,[ $age  \ge  25$ [ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age  \ge  24$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,17,6,25,0.0,2,2,3,82.35294117647058,58.00519688187088,[ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,18,6,26,0.0010000000474974513,2,2,3,83.33333333333334,57.99680127948821,[ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,19,6,27,0.008999999612569809,3,4,7,89.47368421052632,62.60747850429914,[ $prior=0$ [ $age  \ge  24$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,20,6,28,0.008999999612569809,4,4,7,90.0,62.6,[ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $age  \ge  24$ [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,22,6,29,0.020999999716877937,4,4,7,86.36363636363636,62.60504201680672,[ $age  \ge  24$ [ $age  \ge  34$ [ $class$ [ $0$ ] ] [ $prior=0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
