fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,6,12,0.00224475609138608,1,1,1,0.0,55.269974098425976,[ $class$ [ $0$ ] ]
NA,2,6,12,0.001990111079066992,1,1,1,50.0,55.26106018333997,[ $class$ [ $0$ ] ]
NA,3,6,12,0.0018074787221848965,1,1,1,66.66666666666666,44.72792505481363,[ $class$ [ $1$ ] ]
NA,4,6,13,0.004551866091787815,2,2,3,75.0,63.676236044657095,[ $prior>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,6,14,0.005325352773070335,2,2,3,80.0,56.96909272183449,[ $prior=0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,6,15,0.005527249071747065,2,2,3,83.33333333333334,56.96051057040287,[ $prior=0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,6,16,0.01628771284595132,3,3,5,85.71428571428571,57.231198882904444,[ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $age \ge 23.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,8,6,17,0.013515203259885311,3,3,5,87.5,57.22266560255387,[ $age \ge 23.0$ [ $prior=0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,9,6,18,0.05464837606996298,4,4,7,88.88888888888889,62.64218718818599,[ $age \ge 23.0$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,10,6,19,0.061713408678770065,4,4,7,90.0,62.634730538922156,[ $age \ge 23.0$ [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ]
NA,11,6,19,0.017550649121403694,3,3,5,81.81818181818183,62.36773807147136,[ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $prior=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,12,6,20,0.07647164911031723,3,4,7,83.33333333333334,62.63977635782748,[ $prior=0 \eq 1$ [ $age \ge 23.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,13,6,21,0.08587035583332181,3,4,7,84.61538461538461,62.63231475933693,[ $prior=0 \eq 1$ [ $age \ge 23.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age \ge 32.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
