fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,22,44,-1,-1,-1,-1,-1,-1,NA
NA,2,22,44,-1,-1,-1,-1,-1,-1,NA
NA,3,22,49,-1,-1,-1,-1,-1,-1,NA
NA,4,22,58,-1,-1,-1,-1,-1,-1,NA
NA,5,22,64,-1,-1,-1,-1,-1,-1,NA
NA,6,22,67,-1,-1,-1,-1,-1,-1,NA
NA,7,22,69,-1,-1,-1,-1,-1,-1,NA
NA,8,22,78,-1,-1,-1,-1,-1,-1,NA
NA,9,22,83,-1,-1,-1,-1,-1,-1,NA
NA,10,22,86,-1,-1,-1,-1,-1,-1,NA
NA,11,22,89,-1,-1,-1,-1,-1,-1,NA
NA,12,22,92,-1,-1,-1,-1,-1,-1,NA
NA,13,22,101,-1,-1,-1,-1,-1,-1,NA
NA,14,22,106,-1,-1,-1,-1,-1,-1,NA
NA,15,22,112,-1,-1,-1,-1,-1,-1,NA
NA,16,22,115,-1,-1,-1,-1,-1,-1,NA
NA,17,22,117,-1,-1,-1,-1,-1,-1,NA
NA,18,22,118,-1,-1,-1,-1,-1,-1,NA
NA,19,22,120,-1,-1,-1,-1,-1,-1,NA
NA,20,22,120,-1,-1,-1,-1,-1,-1,NA
NA,22,22,125,-1,-1,-1,-1,-1,-1,NA
NA,24,22,130,-1,-1,-1,-1,-1,-1,NA
NA,26,22,133,-1,-1,-1,-1,-1,-1,NA
NA,28,22,137,-1,-1,-1,-1,-1,-1,NA
NA,30,22,140,-1,-1,-1,-1,-1,-1,NA
NA,32,22,141,-1,-1,-1,-1,-1,-1,NA
NA,34,22,147,-1,-1,-1,-1,-1,-1,NA
NA,36,22,149,-1,-1,-1,-1,-1,-1,NA
NA,38,22,152,-1,-1,-1,-1,-1,-1,NA
NA,40,22,154,-1,-1,-1,-1,-1,-1,NA
NA,45,22,163,-1,-1,-1,-1,-1,-1,NA
NA,50,22,174,-1,-1,-1,-1,-1,-1,NA
NA,55,22,174,-1,-1,-1,-1,-1,-1,NA
NA,60,22,185,-1,-1,-1,-1,-1,-1,NA
NA,65,22,189,-1,-1,-1,-1,-1,-1,NA
NA,70,22,197,-1,-1,-1,-1,-1,-1,NA
NA,75,22,206,-1,-1,-1,-1,-1,-1,NA
NA,80,22,210,-1,-1,-1,-1,-1,-1,NA
NA,85,22,213,-1,-1,-1,-1,-1,-1,NA
NA,90,22,213,-1,-1,-1,-1,-1,-1,NA
NA,100,22,220,-1,-1,-1,-1,-1,-1,NA
NA,110,22,227,-1,-1,-1,-1,-1,-1,NA
NA,120,22,232,-1,-1,-1,-1,-1,-1,NA
NA,130,22,241,-1,-1,-1,-1,-1,-1,NA
NA,140,22,243,-1,-1,-1,-1,-1,-1,NA
NA,150,22,247,-1,-1,-1,-1,-1,-1,NA
NA,160,22,252,-1,-1,-1,-1,-1,-1,NA
NA,170,22,255,-1,-1,-1,-1,-1,-1,NA
NA,180,22,258,-1,-1,-1,-1,-1,-1,NA
NA,200,22,261,-1,-1,-1,-1,-1,-1,NA
NA,220,22,266,-1,-1,-1,-1,-1,-1,NA
NA,240,22,271,-1,-1,-1,-1,-1,-1,NA
NA,260,22,286,-1,-1,-1,-1,-1,-1,NA
NA,280,22,295,-1,-1,-1,-1,-1,-1,NA
NA,300,22,299,-1,-1,-1,-1,-1,-1,NA
NA,325,22,307,-1,-1,-1,-1,-1,-1,NA
NA,350,22,317,-1,-1,-1,-1,-1,-1,NA
NA,375,22,329,-1,-1,-1,-1,-1,-1,NA
NA,400,22,331,-1,-1,-1,-1,-1,-1,NA
NA,425,22,331,-1,-1,-1,-1,-1,-1,NA
NA,450,22,342,-1,-1,-1,-1,-1,-1,NA
NA,475,22,346,-1,-1,-1,-1,-1,-1,NA
NA,500,22,347,-1,-1,-1,-1,-1,-1,NA
NA,550,22,356,-1,-1,-1,-1,-1,-1,NA
NA,600,22,361,-1,-1,-1,-1,-1,-1,NA
NA,650,22,369,-1,-1,-1,-1,-1,-1,NA
NA,700,22,371,-1,-1,-1,-1,-1,-1,NA
NA,750,22,375,-1,-1,-1,-1,-1,-1,NA
NA,800,22,384,-1,-1,-1,-1,-1,-1,NA
NA,850,22,387,-1,-1,-1,-1,-1,-1,NA
NA,900,22,389,-1,-1,-1,-1,-1,-1,NA
NA,950,22,405,-1,-1,-1,-1,-1,-1,NA
NA,1000,22,408,-1,-1,-1,-1,-1,-1,NA
NA,1100,22,422,-1,-1,-1,-1,-1,-1,NA
NA,1200,22,433,-1,-1,-1,-1,-1,-1,NA
NA,1300,22,441,-1,-1,-1,-1,-1,-1,NA
NA,1400,22,444,-1,-1,-1,-1,-1,-1,NA
NA,1500,22,447,-1,-1,-1,-1,-1,-1,NA
NA,1600,22,459,-1,-1,-1,-1,-1,-1,NA
NA,1700,22,463,-1,-1,-1,-1,-1,-1,NA
NA,1800,22,463,-1,-1,-1,-1,-1,-1,NA
NA,1900,22,465,-1,-1,-1,-1,-1,-1,NA
NA,2000,22,470,-1,-1,-1,-1,-1,-1,NA
NA,2200,22,479,-1,-1,-1,-1,-1,-1,NA
NA,2400,22,485,-1,-1,-1,-1,-1,-1,NA
NA,2600,22,492,-1,-1,-1,-1,-1,-1,NA
NA,2800,22,499,-1,-1,-1,-1,-1,-1,NA
