fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,22,44,0.1505598360672593,1,1,1,100.0,69.62590731434952,[ $class$ [ $0$ ] ]
NA,2,22,44,0.0024627759121358395,1,1,1,100.0,69.62308050255933,[ $class$ [ $0$ ] ]
NA,3,22,49,0.0019879667088389397,1,1,1,100.0,69.62025316455697,[ $class$ [ $0$ ] ]
NA,4,22,58,0.0020244172774255276,1,1,1,100.0,69.61742530019548,[ $class$ [ $0$ ] ]
NA,5,22,64,0.0020317332819104195,1,1,1,100.0,69.61459690932787,[ $class$ [ $0$ ] ]
NA,6,22,67,0.0019844132475554943,1,1,1,100.0,69.6117679918071,[ $class$ [ $0$ ] ]
NA,7,22,69,0.0019482988864183426,1,1,1,100.0,69.60893854748603,[ $class$ [ $0$ ] ]
NA,8,22,78,0.1406572419218719,2,2,3,100.0,68.87978396498742,[ $p_misdemassault_arrest \ge 2.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,22,83,2.197128496132791,3,4,7,100.0,61.56639970199292,[ $p_felony_count_person \ge 2.5$ [ $p_misdemassault_arrest \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,10,22,86,3.1825182088650763,3,4,7,100.0,61.56282015460557,[ $p_felony_count_person \ge 2.5$ [ $p_misdemassault_arrest \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,11,22,89,4.8878165958449244,3,4,7,100.0,61.55923994038748,[ $p_felony_count_person \ge 2.5$ [ $p_misdemassault_arrest \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,12,22,92,7.405503038782626,3,4,7,100.0,63.87517466231951,[ $p_felony_count_person \ge 1.5$ [ $p_misdemassault_arrest \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,13,22,101,19.395324849989265,3,4,7,100.0,63.871809204397245,[ $p_felony_count_person \ge 1.5$ [ $p_misdemassault_arrest \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_felony_count_person \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,14,22,106,32.606568766757846,3,4,7,100.0,66.65424392061865,[ $p_felony_count_person \ge 3.5$ [ $p_misdemassault_arrest \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_age_first_offense \ge 19.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
