fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,22,44,0.0,1,1,1,100.0,69.62590731434952,[ $class$ [ $0$ ] ]
NA,2,22,44,0.0,1,1,1,100.0,69.62308050255933,[ $class$ [ $0$ ] ]
NA,3,22,49,0.0,1,1,1,100.0,69.62025316455697,[ $class$ [ $0$ ] ]
NA,4,22,58,0.0,1,1,1,100.0,69.61742530019548,[ $class$ [ $0$ ] ]
NA,5,22,64,0.0,1,1,1,100.0,69.61459690932787,[ $class$ [ $0$ ] ]
NA,6,22,67,0.0,1,1,1,100.0,69.6117679918071,[ $class$ [ $0$ ] ]
NA,7,22,69,0.0,1,1,1,100.0,69.60893854748603,[ $class$ [ $0$ ] ]
NA,8,22,78,0.0,2,2,3,100.0,69.35468851848402,[ $p_misdemassault_arrest  \ge  3$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,22,83,0.0020000000949949026,3,3,5,100.0,69.14695474017508,[ $p_age_first_offense  \ge  17.5$ [ $p_misdemassault_arrest  \ge  3$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,10,22,86,0.003000000026077032,3,3,5,100.0,69.14408121449195,[ $p_age_first_offense  \ge  17.5$ [ $p_misdemassault_arrest  \ge  3$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,11,22,89,0.003000000026077032,3,3,5,100.0,69.14120715350224,[ $p_age_first_offense  \ge  17.5$ [ $p_misdemassault_arrest  \ge  3$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,12,22,92,0.004000000189989805,3,3,5,100.0,70.20959478341872,[ $p_misdem_count_person  \ge  2$ [ $p_age_first_offense  \ge  19.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,13,22,101,0.004999999888241291,3,4,7,100.0,68.4460592509782,[ $p_felony_count_person  \ge  4$ [ $p_misdemassault_arrest  \ge  3$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_age_first_offense  \ge  19.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,14,22,106,0.027000000700354576,3,4,7,100.0,66.98034100437901,[ $p_felony_count_person  \ge  4$ [ $p_misdemassault_arrest  \ge  3$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_age_first_offense  \ge  19.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,15,22,112,0.03200000151991844,3,4,7,100.0,66.97726425642936,[ $p_felony_count_person  \ge  4$ [ $p_misdemassault_arrest  \ge  3$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_age_first_offense  \ge  19.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,16,22,115,0.6449999809265137,4,4,7,100.0,69.10819122169416,[ $p_age_first_offense  \ge  16.5$ [ $p_misdem_count_person  \ge  2$ [ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,17,22,117,0.34299999475479126,4,4,7,100.0,69.10531220876048,[ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $p_misdem_count_person  \ge  2$ [ $p_age_first_offense  \ge  16.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,18,22,118,0.7929999828338623,4,4,7,100.0,69.1024326591481,[ $p_misdem_count_person  \ge  2$ [ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $p_age_first_offense  \ge  16.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,19,22,120,0.8199999928474426,4,4,7,100.0,69.09955257270694,[ $p_misdem_count_person  \ge  2$ [ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $p_age_first_offense  \ge  16.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,20,22,120,1.1779999732971191,4,4,7,100.0,70.71874708679034,[ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $p_age_first_offense  \ge  16.5$ [ $p_probation  \ge  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,22,22,125,3.635999917984009,4,5,9,100.0,69.2960372960373,[ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $p_charge  \ge  6$ [ $p_age_first_offense  \ge  17.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $p_probation  \ge  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,24,22,130,4.283999919891357,5,5,9,100.0,69.5887344959433,[ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $p_age_first_offense  \ge  16.5$ [ $p_charge  \ge  6$ [ $class$ [ $1$ ] ] [ $p_probation  \ge  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,26,22,133,3.3499999046325684,5,5,9,100.0,69.58306128159687,[ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $p_age_first_offense  \ge  16.5$ [ $p_charge  \ge  6$ [ $class$ [ $1$ ] ] [ $p_probation  \ge  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $0$ ] ] ] ]
NA,28,22,137,10.656000137329102,5,6,11,100.0,69.32549678141618,[ $p_misdem_count_person  \ge  2$ [ $p_current_age  \ge  24$ [ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $p_age_first_offense  \ge  16.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $p_age_first_offense  \ge  18.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ]
NA,30,22,140,29.753000259399414,6,7,13,83.33333333333334,65.17682187179248,[ $p_charge_violent  \ge  5$ [ $p_current_age  \ge  30$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $p_current_age  \ge  19$ [ $p_probation  \ge  3$ [ $class$ [ $0$ ] ] [ $p_charge  \ge  4$ [ $p_felony_count_person  \ge  3$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ] ]
NA,32,22,141,10.097000122070312,3,4,7,90.625,67.2515165655623,[ $p_felony_count_person  \ge  3$ [ $p_felony_count_person  \ge  4$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $p_age_first_offense  \ge  18.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
NA,34,22,147,28.06800079345703,5,6,11,91.17647058823529,68.19751703537757,[ $p_felony_count_person  \ge  3$ [ $p_charge  \ge  6$ [ $p_arrest  \ge  37$ [ $class$ [ $1$ ] ] [ $p_felony_count_person  \ge  4$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $0$ ] ] ] [ $p_age_first_offense  \ge  18.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ]
