fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,23,46,0.002293952275067568,1,1,1,100.0,46.44644644644645,[ $class$ [ $0$ ] ]
NA,2,23,46,0.0024369489401578903,2,2,3,100.0,44.48897795591182,[ $NumRevolvingTradesWBalance \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,23,60,0.0030170041136443615,2,2,3,100.0,42.82848545636911,[ $NumInqLast6M \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,23,74,0.0024471692740917206,2,2,3,100.0,64.95983935742971,[ $NetFractionRevolvingBurden \ge 36.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,5,23,89,0.002443361561745405,2,2,3,100.0,40.60301507537689,[ $AverageMInFile \ge 65.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,6,23,100,0.0025872401893138885,2,2,3,100.0,60.26156941649899,[ $PercentTradesWBalance \ge 47.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,23,115,0.0024843825958669186,2,2,3,100.0,60.22155085599194,[ $PercentTradesWBalance \ge 47.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,23,125,0.002476905006915331,3,3,5,100.0,58.266129032258064,[ $PercentTradesWBalance \ge 47.0$ [ $NumInstallTradesWBalance \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,9,23,134,0.0025970730930566788,3,3,5,100.0,48.03229061553986,[ $NumInstallTradesWBalance \ge 1.5$ [ $AverageMInFile \ge 77.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,10,23,144,0.0025873598642647266,3,3,5,100.0,47.97979797979798,[ $NumInstallTradesWBalance \ge 1.5$ [ $AverageMInFile \ge 77.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,11,23,156,0.002540921326726675,3,3,5,90.9090909090909,42.568250758341755,[ $NumInqLast6M \ge 0.5$ [ $class$ [ $1$ ] ] [ $NumBank2NatlTradesWHighUtilization \ge 0.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,12,23,163,0.002538127824664116,3,3,5,100.0,47.874493927125506,[ $AverageMInFile \ge 77.0$ [ $NumInstallTradesWBalance \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,13,23,186,0.0026470227167010307,3,3,5,92.3076923076923,52.68490374873353,[ $NetFractionRevolvingBurden \ge 0.5$ [ $class$ [ $0$ ] ] [ $NumTotalTrades \ge 33.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,14,23,186,0.00258310092613101,3,3,5,92.85714285714286,39.046653144016226,[ $AverageMInFile \ge 63.0$ [ $class$ [ $0$ ] ] [ $NumInqLast6Mexcl7days \ge 3.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
