fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,23,46,0.0,1,1,1,100.0,46.44644644644645,[ $class$ [ $0$ ] ]
NA,2,23,46,0.0,2,2,3,100.0,47.69539078156313,[ $PercentTradesWBalance  \eq  67$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,3,23,60,0.0,2,2,3,100.0,63.390170511534606,[ $PercentTradesWBalance  \ge  54$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,23,74,0.0,2,2,3,100.0,63.35341365461847,[ $PercentTradesWBalance  \ge  54$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,23,89,0.0,2,2,3,100.0,60.30150753768844,[ $PercentTradesWBalance  \ge  50$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,23,100,0.0,2,2,3,100.0,60.26156941649899,[ $PercentTradesWBalance  \ge  50$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,23,115,0.0010000000474974513,2,2,3,100.0,60.22155085599194,[ $PercentTradesWBalance  \ge  50$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,23,125,0.010999999940395355,3,3,5,100.0,57.45967741935484,[ $PercentTradesWBalance  \ge  39$ [ $NumSatisfactoryTrades  \ge  36$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,9,23,134,0.04899999871850014,3,3,5,100.0,58.82946518668012,[ $PercentTradesWBalance  \ge  54$ [ $class$ [ $1$ ] ] [ $MSinceOldestTradeOpen  \ge  288$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,10,23,144,0.10999999940395355,3,3,5,100.0,47.97979797979798,[ $AverageMInFile  \ge  82$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,11,23,156,0.14100000262260437,3,3,5,100.0,47.92719919110212,[ $AverageMInFile  \ge  82$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,12,23,163,0.19699999690055847,3,3,5,100.0,47.874493927125506,[ $AverageMInFile  \ge  82$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,13,23,186,1.2300000190734863,3,3,5,100.0,47.82168186423505,[ $AverageMInFile  \ge  82$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,14,23,186,1.5130000114440918,3,3,5,100.0,47.76876267748479,[ $AverageMInFile  \ge  82$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,15,23,195,3.6589999198913574,4,4,7,100.0,58.88324873096447,[ $PercentTradesWBalance  \ge  54$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate  \ge  90$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,16,23,206,5.507999897003174,4,4,7,100.0,58.84146341463414,[ $PercentTradesWBalance  \ge  54$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate  \ge  90$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,17,23,216,1.809999942779541,4,4,7,100.0,58.79959308240081,[ $PercentTradesWBalance  \ge  54$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate  \ge  90$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,18,23,229,1.777999997138977,4,4,7,100.0,58.757637474541745,[ $ExternalRiskEstimate  \ge  90$ [ $class$ [ $1$ ] ] [ $PercentTradesWBalance  \ge  54$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,19,23,229,2.0460000038146973,4,4,7,94.73684210526315,58.81753312945973,[ $PercentTradesWBalance  \ge  54$ [ $class$ [ $1$ ] ] [ $ExternalRiskEstimate  \ge  90$ [ $class$ [ $1$ ] ] [ $NumInstallTradesWBalance  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ]
NA,20,23,236,17.593000411987305,3,4,7,95.0,54.48979591836734,[ $NumSatisfactoryTrades  \ge  20$ [ $NumTradesOpeninLast12M  \ge  2$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $NetFractionRevolvingBurden  \ge  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
