fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,23,46,0.002741395030170679,1,1,1,100.0,46.44644644644645,[ $class$ [ $0$ ] ]
NA,2,23,46,0.0028192130848765373,2,2,3,100.0,42.88577154308617,[ $NumInqLast6M \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,23,60,0.005528525914996862,2,2,3,100.0,57.97392176529589,[ $MSinceMostRecentInqexcl7days \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,4,23,74,0.0044035110622644424,2,2,3,100.0,54.61847389558233,[ $MaxDelqEver \ge 5.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,23,89,0.0056205857545137405,2,2,3,100.0,53.266331658291456,[ $MSinceMostRecentDelq \ge 23.0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,23,100,0.006487790960818529,2,2,3,100.0,60.26156941649899,[ $PercentTradesWBalance \ge 47.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,7,23,115,0.008081187959760427,2,2,3,100.0,60.22155085599194,[ $PercentTradesWBalance \ge 47.0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,8,23,125,0.04044077917933464,3,3,5,100.0,57.66129032258065,[ $PercentTradesWBalance \ge 47.0$ [ $NetFractionInstallBurden \ge 16.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,9,23,134,0.04771646484732628,3,3,5,100.0,58.32492431886983,[ $PercentTradesWBalance \ge 52.0$ [ $MSinceOldestTradeOpen \ge 277.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,10,23,144,0.05309905204921961,3,3,5,100.0,47.97979797979798,[ $AverageMInFile \ge 77.0$ [ $NumInstallTradesWBalance \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,11,23,156,0.0582201280631125,3,3,5,100.0,47.92719919110212,[ $AverageMInFile \ge 77.0$ [ $NumInstallTradesWBalance \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
NA,12,23,163,0.06339025311172009,3,3,5,100.0,47.874493927125506,[ $AverageMInFile \ge 77.0$ [ $NumInstallTradesWBalance \ge 1.5$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ]
