fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.0021301237866282463,1,1,1,100.0,66.44295302013423,[ $class$ [ $0$ ] ]
NA,2,4,8,0.00201503187417984,1,1,1,100.0,66.21621621621621,[ $class$ [ $0$ ] ]
NA,3,4,12,0.002332262694835663,2,2,3,100.0,85.71428571428571,[ $sepal_length \ge 5.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,4,16,0.0024149580858647823,2,2,3,100.0,100.0,[ $petal_length \ge 2.7$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,4,19,0.0028008809313178062,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,4,23,0.0031166686676442623,2,2,3,100.0,99.30555555555556,[ $petal_width \ge 0.6$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,4,26,0.0032676211558282375,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,4,30,0.0036589549854397774,2,2,3,100.0,85.2112676056338,[ $sepal_length \ge 5.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,4,33,0.0041017490439116955,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,10,4,35,0.004448701161891222,2,2,3,100.0,81.42857142857143,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,11,4,37,0.004942175000905991,2,2,3,100.0,100.0,[ $petal_width \ge 0.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,12,4,40,0.005355917848646641,2,2,3,100.0,84.78260869565217,[ $sepal_length \ge 5.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,13,4,41,0.005751864984631538,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,14,4,43,0.006234903819859028,2,2,3,100.0,80.88235294117648,[ $sepal_width \ge 3.3499999999999996$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,15,4,43,0.006409064866602421,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,16,4,45,0.006906429305672646,2,2,3,100.0,100.0,[ $petal_width \ge 0.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,17,4,45,0.007249948102980852,2,2,3,100.0,84.21052631578947,[ $sepal_length \ge 5.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,18,4,46,0.0077585987746715546,2,2,3,100.0,100.0,[ $petal_width \ge 0.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,19,4,48,0.008297317195683718,2,2,3,100.0,100.0,[ $petal_width \ge 0.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,20,4,51,0.00931208161637187,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,22,4,54,0.010822026059031487,2,2,3,100.0,100.0,[ $petal_length \ge 2.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,24,4,56,0.011220771353691816,2,2,3,100.0,100.0,[ $petal_width \ge 0.7$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,26,4,60,0.012566115707159042,2,2,3,100.0,100.0,[ $petal_width \ge 0.7$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,28,4,63,0.013871795032173395,2,2,3,100.0,100.0,[ $petal_width \ge 0.7$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,30,4,66,0.015223019290715456,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,32,4,67,0.017130427062511444,2,2,3,100.0,100.0,[ $petal_width \ge 0.7$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,34,4,68,0.019586028065532446,2,2,3,100.0,100.0,[ $petal_width \ge 0.7$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,36,4,71,0.018839717842638493,2,2,3,100.0,100.0,[ $petal_width \ge 0.7$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,38,4,74,0.02091847499832511,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,40,4,76,0.022636891808360815,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,45,4,82,0.02684575878083706,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,50,4,88,0.03107317630201578,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,55,4,93,0.036104029044508934,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,60,4,97,0.040565062779933214,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,65,4,98,0.044003000017255545,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,70,4,102,0.04897115007042885,2,2,3,100.0,100.0,[ $petal_length \ge 2.5999999999999996$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,75,4,104,0.051542000845074654,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,80,4,105,0.057673745322972536,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,85,4,107,0.060428228694945574,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,90,4,107,0.0639452482573688,2,2,3,100.0,100.0,[ $petal_length \ge 2.45$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,100,4,109,0.07278760708868504,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,110,4,112,0.08100535906851292,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,120,4,118,0.09805479692295194,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,130,4,122,0.11951990192756057,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,140,4,123,0.1121548991650343,2,2,3,100.0,100.0,[ $petal_width \ge 0.8$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
