fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,-1,-1,-1,-1,-1,-1,NA
NA,2,4,8,-1,-1,-1,-1,-1,-1,NA
NA,3,4,12,0.09578271955251694,6,32,63,100.0,53.74149659863946,[ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sepal_length \ge 5.9$ [ $petal_width \ge 1.7$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ] ]
NA,4,4,16,0.11559490626677871,6,32,63,100.0,77.3972602739726,[ $petal_width \ge 2.1$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $petal_length \ge 4.55$ [ $petal_length \ge 4.55$ [ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $petal_length \ge 4.55$ [ $petal_length \ge 4.55$ [ $petal_length \ge 4.55$ [ $petal_length \ge 4.55$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $petal_length \ge 4.55$ [ $petal_length \ge 4.55$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.65$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,5,4,19,0.3450135551393032,6,32,63,100.0,73.79310344827587,[ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $petal_width \ge 1.4$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,6,4,23,0.18376440042629838,6,32,63,100.0,68.75,[ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sepal_width \ge 2.5$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.25$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,7,4,26,0.23954763123765588,6,32,63,100.0,68.53146853146853,[ $sepal_length \ge 5.25$ [ $petal_width \ge 2.45$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $petal_length \ge 5.55$ [ $sepal_length \ge 5.25$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,8,4,30,0.5159368272870779,6,32,63,100.0,69.71830985915493,[ $sepal_length \ge 5.9$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_length \ge 5.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,9,4,33,0.4375543538480997,6,32,63,100.0,82.26950354609929,[ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
NA,10,4,35,0.5341578340157866,6,32,63,100.0,82.14285714285714,[ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $petal_width \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $petal_width \ge 2.45$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $petal_width \ge 2.45$ [ $sepal_length \ge 5.65$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $petal_length \ge 4.949999999999999$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $sepal_length \ge 5.25$ [ $sepal_length \ge 5.25$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $petal_width \ge 2.45$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] ]
