fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.0021983450278639793,1,1,1,100.0,66.44295302013423,[ $class$ [ $0$ ] ]
NA,2,4,8,0.002305939793586731,2,2,3,100.0,70.94594594594594,[ $petal_width \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,4,12,0.002085117157548666,2,2,3,100.0,70.74829931972789,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,4,16,0.0021866359747946262,2,2,3,100.0,70.54794520547945,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,4,19,0.0026258970610797405,2,2,3,100.0,70.34482758620689,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,4,23,0.0022007771767675877,2,2,3,100.0,70.13888888888889,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,4,26,0.002256432082504034,2,2,3,100.0,69.93006993006993,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,4,30,0.0023927539587020874,3,3,5,87.5,70.4225352112676,[ $sepal_width \ge 2.5$ [ $class$ [ $1$ ] ] [ $sepal_length \ge 6.5$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,9,4,33,0.0023401957005262375,3,3,5,100.0,83.68794326241135,[ $sepal_width \ge 3.2$ [ $petal_width \ge 1.65$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,10,4,35,0.0022420049645006657,3,3,5,100.0,81.42857142857143,[ $sepal_width \ge 3.2$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,11,4,37,0.002251829020678997,3,3,5,100.0,81.29496402877699,[ $sepal_width \ge 3.2$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,12,4,40,0.0024002823047339916,3,3,5,100.0,79.71014492753623,[ $sepal_width \ge 3.25$ [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,13,4,41,0.0022745211608707905,3,3,5,100.0,78.1021897810219,[ $petal_length \ge 4.949999999999999$ [ $sepal_length \ge 5.9$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ]
NA,14,4,43,0.0023672347888350487,3,3,5,100.0,72.05882352941177,[ $sepal_length \ge 5.9$ [ $class$ [ $0$ ] ] [ $petal_length \ge 5.35$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,15,4,43,0.0022590309381484985,3,3,5,100.0,77.77777777777779,[ $sepal_length \ge 5.9$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,16,4,45,0.00238846056163311,3,3,5,100.0,71.64179104477611,[ $sepal_length \ge 5.9$ [ $class$ [ $0$ ] ] [ $petal_length \ge 5.35$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,17,4,45,0.0027528866194188595,3,3,5,100.0,77.44360902255639,[ $sepal_length \ge 5.9$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,18,4,46,0.00237684091553092,3,3,5,100.0,93.93939393939394,[ $petal_length \ge 2.75$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,19,4,48,0.002438879106193781,3,3,5,100.0,93.89312977099237,[ $petal_length \ge 2.75$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,20,4,51,0.002458462957292795,3,3,5,100.0,93.84615384615384,[ $petal_length \ge 2.75$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,22,4,54,0.0025382512249052525,3,3,5,100.0,94.53125,[ $petal_width \ge 0.7$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,24,4,56,0.002769642975181341,3,3,5,100.0,94.44444444444444,[ $petal_width \ge 0.7$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.85$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
NA,26,4,60,0.00249910494312644,3,3,5,96.15384615384616,95.16129032258065,[ $petal_width \ge 0.7$ [ $class$ [ $0$ ] ] [ $petal_length \ge 4.75$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ]
