fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,1,4,8,0.14907302800565958,1,1,1,0.0,67.11409395973155,[ $class$ [ $0$ ] ]
NA,2,4,8,0.00187321612611413,2,2,3,100.0,37.16216216216216,[ $petal_width \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ]
NA,3,4,12,0.0019818590953946114,2,2,3,100.0,89.79591836734694,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,4,4,16,0.0024343100376427174,2,2,3,100.0,89.72602739726028,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,5,4,19,0.003149419091641903,2,2,3,100.0,89.65517241379311,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,6,4,23,0.006408618297427893,2,2,3,100.0,89.58333333333334,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,7,4,26,0.009772482793778181,2,2,3,100.0,89.5104895104895,[ $petal_length \ge 4.55$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,8,4,30,0.022635492961853743,2,2,3,100.0,95.07042253521126,[ $petal_length \ge 4.9$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,9,4,33,0.038088584784418344,2,2,3,100.0,94.32624113475178,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,10,4,35,0.05481331329792738,2,2,3,100.0,94.28571428571428,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,11,4,37,0.1336451331153512,2,2,3,100.0,94.24460431654677,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
NA,12,4,40,0.21175182424485683,2,2,3,100.0,94.20289855072464,[ $petal_length \ge 4.949999999999999$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ]
