Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
balance-scale,complete,1,625,16,16,binoct,1,None,None,300,leviathan,30,0,500.0,15,16,0.896365135,2,2,3,71.56295224,70.23121387,[ $a6_high \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
balance-scale,complete,1,625,16,16,binoct,1,None,None,300,leviathan,30,1,500.0,15,16,0.6731928797,2,2,3,70.83936324,73.12138728,[ $a6_high \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
balance-scale,complete,1,625,16,16,binoct,1,None,None,300,leviathan,30,2,500.0,15,16,0.6842460777,2,2,3,70.83936324,66.76300578,[ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,binoct,1,None,None,300,leviathan,30,3,500.0,15,16,0.8692208887,2,2,3,72.45119306,60.28985507,[ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,binoct,1,None,None,300,leviathan,30,4,500.0,15,16,0.8258178961,2,2,3,73.24656544,57.10144928,[ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,binoct,2,None,None,300,leviathan,30,0,500.0,15,16,5.381151553,3,4,7,90.01447178,67.6300578,[ $a4_2 \eq 1$ [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
balance-scale,complete,1,625,16,16,binoct,2,None,None,300,leviathan,30,1,500.0,15,16,6.145897714,3,4,7,87.33719247,78.32369942,[ $a4_2 \eq 0$ [ $a2_low \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
balance-scale,complete,1,625,16,16,binoct,2,None,None,300,leviathan,30,2,500.0,15,16,8.818523326000001,3,4,7,84.65991317,89.01734104,[ $a4_2 \eq 1$ [ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a1_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
balance-scale,complete,1,625,16,16,binoct,2,None,None,300,leviathan,30,3,500.0,15,16,7.744526898999999,3,4,7,83.15256688,95.07246377,[ $a4_2 \eq 0$ [ $a1_med \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
balance-scale,complete,1,625,16,16,binoct,2,None,None,300,leviathan,30,4,500.0,15,16,6.904845827000001,3,4,7,83.51409978,77.97101449,[ $a4_2 \eq 1$ [ $a6_high \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a6_low \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
