Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
balance-scale,complete,1,625,16,16,dl85,1,None,None,300,leviathan,1,0,500.0,16,16,-1.0,-1,-1,-1,-1.0,-1.0,,
balance-scale,complete,1,625,16,16,dl85,1,None,None,300,leviathan,1,1,500.0,16,16,-1.0,-1,-1,-1,-1.0,-1.0,,
balance-scale,complete,1,625,16,16,dl85,1,None,None,300,leviathan,1,2,500.0,16,16,-1.0,-1,-1,-1,-1.0,-1.0,,
balance-scale,complete,1,625,16,16,dl85,1,None,None,300,leviathan,1,3,500.0,16,16,-1.0,-1,-1,-1,-1.0,-1.0,,
balance-scale,complete,1,625,16,16,dl85,1,None,None,300,leviathan,1,4,500.0,16,16,-1.0,-1,-1,-1,-1.0,-1.0,,
balance-scale,complete,1,625,16,16,dl85,2,None,None,300,leviathan,1,0,500.0,16,16,0.009896051139,2,2,3,92.2,92.0,[ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,2,None,None,300,leviathan,1,1,500.0,16,16,0.0068343677560000005,2,2,3,92.4,91.2,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,2,None,None,300,leviathan,1,2,500.0,16,16,0.006721013691,2,2,3,92.0,92.8,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,2,None,None,300,leviathan,1,3,500.0,16,16,0.006712825037999999,2,2,3,92.2,92.0,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,2,None,None,300,leviathan,1,4,500.0,16,16,0.007614812348,2,2,3,92.0,92.8,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,3,None,None,300,leviathan,1,0,500.0,16,16,0.10767174189999999,2,2,3,92.2,92.0,[ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,3,None,None,300,leviathan,1,1,500.0,16,16,0.10760734599999999,2,2,3,92.4,91.2,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,3,None,None,300,leviathan,1,2,500.0,16,16,0.10780417130000002,2,2,3,92.0,92.8,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,3,None,None,300,leviathan,1,3,500.0,16,16,0.10834538699999999,2,2,3,92.2,92.0,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,3,None,None,300,leviathan,1,4,500.0,16,16,0.1335425917,2,2,3,92.0,92.8,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ],
balance-scale,complete,1,625,16,16,dl85,4,None,None,300,leviathan,1,0,500.0,16,16,1.344466172,5,5,9,92.4,92.0,[ $a1_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a3_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ],
