Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
balance-scale,complete,2,625,16,30,gosdt,None,None,0.2,300,leviathan,1,0,625,16,30,0.0,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.2,300,leviathan,1,1,625,16,30,0.0,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.2,300,leviathan,1,2,625,16,30,0.0,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.2,300,leviathan,1,3,625,16,30,0.0,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.2,300,leviathan,1,4,625,16,30,0.0,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.1,300,leviathan,1,0,625,16,30,0.0,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.1,300,leviathan,1,1,625,16,30,0.0,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.1,300,leviathan,1,2,625,16,30,0.0,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.1,300,leviathan,1,3,625,16,30,0.0,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.1,300,leviathan,1,4,625,16,30,0.0,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.09,300,leviathan,1,0,625,16,30,0.0,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.09,300,leviathan,1,1,625,16,30,0.0,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.09,300,leviathan,1,2,625,16,30,0.0,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.09,300,leviathan,1,3,625,16,30,0.0,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.09,300,leviathan,1,4,625,16,30,0.0,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.08,300,leviathan,1,0,625,16,30,0.0,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.08,300,leviathan,1,1,625,16,30,0.0,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,2,625,16,30,gosdt,None,None,0.08,300,leviathan,1,2,625,16,30,0.0,1,1,1,92.0,92.80000000000001,[ $class$ [ $0$ ] ],
