Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
balance-scale,complete,1,625,16,16,osdt,None,None,0.2,300,leviathan,1,0,500.0,16,16,0.139575229,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.2,300,leviathan,1,1,500.0,16,16,0.1414372311,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.2,300,leviathan,1,2,500.0,16,16,0.13881336619999998,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.2,300,leviathan,1,3,500.0,16,16,0.1566953221,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.2,300,leviathan,1,4,500.0,16,16,0.1388462889,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.1,300,leviathan,1,0,500.0,16,16,0.1388837127,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.1,300,leviathan,1,1,500.0,16,16,0.1398696261,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.1,300,leviathan,1,2,500.0,16,16,0.1380434432,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.1,300,leviathan,1,3,500.0,16,16,0.1400918472,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.1,300,leviathan,1,4,500.0,16,16,0.1515676882,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.09,300,leviathan,1,0,500.0,16,16,0.1553043677,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.09,300,leviathan,1,1,500.0,16,16,0.138074385,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.09,300,leviathan,1,2,500.0,16,16,0.14916976310000002,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.09,300,leviathan,1,3,500.0,16,16,0.1383061726,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.09,300,leviathan,1,4,500.0,16,16,0.1387756011,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.08,300,leviathan,1,0,500.0,16,16,0.1384802172,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.08,300,leviathan,1,1,500.0,16,16,0.13899900210000002,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.08,300,leviathan,1,2,500.0,16,16,0.1381290918,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.08,300,leviathan,1,3,500.0,16,16,0.1389142592,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.08,300,leviathan,1,4,500.0,16,16,0.1529387049,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.07,300,leviathan,1,0,500.0,16,16,0.15311522130000002,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.07,300,leviathan,1,1,500.0,16,16,0.1387488469,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.07,300,leviathan,1,2,500.0,16,16,0.1528393952,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.07,300,leviathan,1,3,500.0,16,16,0.138410598,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.07,300,leviathan,1,4,500.0,16,16,0.139350065,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.06,300,leviathan,1,0,500.0,16,16,0.1380193499,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.06,300,leviathan,1,1,500.0,16,16,0.139811974,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.06,300,leviathan,1,2,500.0,16,16,0.1385959159,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.06,300,leviathan,1,3,500.0,16,16,0.1391196949,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.06,300,leviathan,1,4,500.0,16,16,0.1383236009,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.05,300,leviathan,1,0,500.0,16,16,0.13948309279999999,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.05,300,leviathan,1,1,500.0,16,16,0.1388569167,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.05,300,leviathan,1,2,500.0,16,16,0.1396180913,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.05,300,leviathan,1,3,500.0,16,16,0.13859149210000002,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.05,300,leviathan,1,4,500.0,16,16,0.138506637,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.04,300,leviathan,1,0,500.0,16,16,0.1385134649,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.04,300,leviathan,1,1,500.0,16,16,0.13898338,1,1,1,92.4,91.2,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.04,300,leviathan,1,2,500.0,16,16,0.1387617579,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.04,300,leviathan,1,3,500.0,16,16,0.13962884109999998,1,1,1,92.2,92.0,[ $class$ [ $0$ ] ],
balance-scale,complete,1,625,16,16,osdt,None,None,0.04,300,leviathan,1,4,500.0,16,16,0.138962274,1,1,1,92.0,92.8,[ $class$ [ $0$ ] ],
