Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
car-evaluation,complete,1,1729,15,15,dl85,1,None,None,300,leviathan,1,0,1382,15,15,0.1787444218,2,2,3,71.56295224,70.23121387,[ $a6_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
car-evaluation,complete,1,1729,15,15,dl85,1,None,None,300,leviathan,1,1,1382,15,15,0.003246723674,2,2,3,70.83936324,73.12138728,[ $a6_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
car-evaluation,complete,1,1729,15,15,dl85,1,None,None,300,leviathan,1,2,1382,15,15,-1.0,-1,-1,-1,-1.0,-1.0,,
car-evaluation,complete,1,1729,15,15,dl85,1,None,None,300,leviathan,1,3,1383,15,15,-1.0,-1,-1,-1,-1.0,-1.0,,
car-evaluation,complete,1,1729,15,15,dl85,1,None,None,300,leviathan,1,4,1383,15,15,-1.0,-1,-1,-1,-1.0,-1.0,,
car-evaluation,complete,1,1729,15,15,dl85,2,None,None,300,leviathan,1,0,1382,15,15,0.008889929391,3,3,5,90.01447178,67.6300578,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,dl85,2,None,None,300,leviathan,1,1,1382,15,15,0.007651509251,3,3,5,87.33719247,78.32369942,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,dl85,2,None,None,300,leviathan,1,2,1382,15,15,0.007594699040000001,3,3,5,84.65991317,89.01734104,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,dl85,2,None,None,300,leviathan,1,3,1383,15,15,0.007590326946,3,3,5,83.15256688,95.07246377,[ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,dl85,2,None,None,300,leviathan,1,4,1383,15,15,0.007868680172,3,3,5,83.51409978,77.97101449,[ $a4_2 \eq 0$ [ $a6_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,dl85,3,None,None,300,leviathan,1,0,1382,15,15,0.09836569289,4,6,11,91.31693198,67.6300578,[ $a1_high \eq 0$ [ $a4_2 \eq 0$ [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $a4_2 \eq 0$ [ $a6_high \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ] ],
