Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.2,300,leviathan,1,0,1728,15,28,0.0,1,1,1,65.41244573082489,88.4393063583815,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.2,300,leviathan,1,1,1728,15,28,0.0,1,1,1,68.16208393632417,77.45664739884393,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.2,300,leviathan,1,2,1728,15,28,0.0,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.2,300,leviathan,1,3,1728,15,28,0.0,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.2,300,leviathan,1,4,1728,15,28,0.0,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.1,300,leviathan,1,0,1728,15,28,0.008999999612569809,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.1,300,leviathan,1,1,1728,15,28,0.009999999776482582,1,1,1,68.16208393632417,77.45664739884393,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.1,300,leviathan,1,2,1728,15,28,0.004000000189989805,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.1,300,leviathan,1,3,1728,15,28,0.003000000026077032,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.1,300,leviathan,1,4,1728,15,28,0.003000000026077032,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.09,300,leviathan,1,0,1728,15,28,0.012000000104308128,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.09,300,leviathan,1,1,1728,15,28,0.010999999940395355,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.09,300,leviathan,1,2,1728,15,28,0.007000000216066837,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.09,300,leviathan,1,3,1728,15,28,0.008999999612569809,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.09,300,leviathan,1,4,1728,15,28,0.004999999888241291,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.08,300,leviathan,1,0,1728,15,28,0.017000000923871994,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.08,300,leviathan,1,1,1728,15,28,0.013000000268220901,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.08,300,leviathan,1,2,1728,15,28,0.012000000104308128,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.08,300,leviathan,1,3,1728,15,28,0.009999999776482582,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.08,300,leviathan,1,4,1728,15,28,0.010999999940395355,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.07,300,leviathan,1,0,1728,15,28,0.023000000044703484,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.07,300,leviathan,1,1,1728,15,28,0.01899999938905239,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.07,300,leviathan,1,2,1728,15,28,0.024000000208616257,1,1,1,70.83936324167873,66.76300578034682,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.07,300,leviathan,1,3,1728,15,28,0.01600000075995922,1,1,1,72.45119305856834,60.28985507246377,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.07,300,leviathan,1,4,1728,15,28,0.014000000432133675,1,1,1,73.24656543745482,57.10144927536231,[ $class$ [ $0$ ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.06,300,leviathan,1,0,1728,15,28,0.05700000002980232,3,3,5,90.01447178002894,67.63005780346822,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,2,1728,15,28,gosdt,None,None,0.06,300,leviathan,1,1,1728,15,28,0.05900000035762787,3,3,5,87.33719247467438,78.32369942196532,[ $a4_2  \eq  1$ [ $class$ [ $0$ ] ] [ $a6_low  \eq  1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
