Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.2,300,leviathan,1,0,1382,15,15,0.5135076432,1,1,1,65.41244573,88.43930636,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.2,300,leviathan,1,1,1382,15,15,0.5171293337,1,1,1,68.16208394,77.45664740000001,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.2,300,leviathan,1,2,1382,15,15,0.5075974069,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.2,300,leviathan,1,3,1383,15,15,0.5197505839,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.2,300,leviathan,1,4,1383,15,15,0.511906221,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.1,300,leviathan,1,0,1382,15,15,0.5191697609,3,3,5,90.01447178,67.6300578,[ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.1,300,leviathan,1,1,1382,15,15,0.5473608732999999,3,3,5,87.33719247,78.32369942,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.1,300,leviathan,1,2,1382,15,15,0.5224503147999999,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.1,300,leviathan,1,3,1383,15,15,0.5210340847,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.1,300,leviathan,1,4,1383,15,15,0.5273625469,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.09,300,leviathan,1,0,1382,15,15,0.5494983089,3,3,5,90.01447178,67.6300578,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.09,300,leviathan,1,1,1382,15,15,0.5427103681000001,3,3,5,87.33719247,78.32369942,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.09,300,leviathan,1,2,1382,15,15,0.5507712658,1,1,1,70.83936324,66.76300578,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.09,300,leviathan,1,3,1383,15,15,0.5388546851,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.09,300,leviathan,1,4,1383,15,15,0.521403315,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.08,300,leviathan,1,0,1382,15,15,0.5451106993,3,3,5,90.01447178,67.6300578,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.08,300,leviathan,1,1,1382,15,15,0.5603492729999999,3,3,5,87.33719247,78.32369942,[ $a6_low \eq 1$ [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.08,300,leviathan,1,2,1382,15,15,0.6016729809,3,3,5,84.65991317,89.01734104,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.08,300,leviathan,1,3,1383,15,15,0.548381215,1,1,1,72.45119306,60.28985507,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.08,300,leviathan,1,4,1383,15,15,0.5603094967,1,1,1,73.24656544,57.10144928,[ $class$ [ $0$ ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.07,300,leviathan,1,0,1382,15,15,0.5469261319,3,3,5,90.01447178,67.6300578,[ $a6_low \eq 1$ [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.07,300,leviathan,1,1,1382,15,15,0.5626597782,3,3,5,87.33719247,78.32369942,[ $a6_low \eq 0$ [ $class$ [ $0$ ] ] [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.07,300,leviathan,1,2,1382,15,15,4.072753896,3,3,5,84.65991317,89.01734104,[ $a4_2 \eq 1$ [ $class$ [ $0$ ] ] [ $a6_low \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
car-evaluation,complete,1,1729,15,15,osdt,None,None,0.07,300,leviathan,1,3,1383,15,15,3.8891430939999996,3,3,5,83.15256688,95.07246377,[ $a4_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a6_low \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
