Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,0,5525,12,12,0.1589404051,2,2,3,63.47511312,65.55716353,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,1,5525,12,12,0.0042726970280000005,2,2,3,63.83710407,64.10998553,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,2,5526,12,12,0.004302455112,2,2,3,64.5674991,61.18754526,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,3,5526,12,12,0.004309301265,2,2,3,63.66268549,64.80811007,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,1,None,None,300,leviathan,1,4,5526,12,12,0.004572953098,2,2,3,63.916033299999995,63.79435192,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,0,5525,12,12,0.013683496969999999,3,4,7,65.84615385,67.29377713,[ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,1,5525,12,12,0.01260292903,3,4,7,66.33484163,65.34008683,[ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,2,5526,12,12,0.01287224935,3,4,7,66.63047412,64.59087618,[ $age:<26 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,3,5526,12,12,0.01276629977,3,4,7,66.35903004,65.67704562,[ $age:<26 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,2,None,None,300,leviathan,1,4,5526,12,12,0.012734004299999999,3,4,7,66.19616359,66.32874728,[ $age:<26 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,3,None,None,300,leviathan,1,0,5525,12,12,0.1679450981,4,7,13,66.73303167,67.80028944,[ $juvenile-crimes:=0 \eq 0$ [ $age:<26 \eq 0$ [ $priors:=1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,3,None,None,300,leviathan,1,1,5525,12,12,0.16607766599999998,4,8,15,67.58371041,65.19536903,[ $priors:2-3 \eq 0$ [ $age:<21 \eq 1$ [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $juvenile-crimes:=0 \eq 0$ [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,3,None,None,300,leviathan,1,2,5526,12,12,0.16650729720000002,4,7,13,67.53528773,64.66328747,[ $juvenile-crimes:=0 \eq 0$ [ $sex:Female \eq 1$ [ $priors:=1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,3,None,None,300,leviathan,1,3,5526,12,12,0.170530675,4,7,13,66.81143684,66.90803765,[ $age:<26 \eq 0$ [ $juvenile-felonies:=0 \eq 1$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $priors:=1 \eq 0$ [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,3,None,None,300,leviathan,1,4,5526,12,12,0.16904675870000002,4,8,15,67.11907347,67.05286025,[ $priors:2-3 \eq 0$ [ $age:<21 \eq 1$ [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $juvenile-crimes:=0 \eq 0$ [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,4,None,None,300,leviathan,1,0,5525,12,12,1.6253527840000002,5,14,27,67.13122172,68.45151954,[ $juvenile-crimes:=0 \eq 0$ [ $priors:=1 \eq 0$ [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $age:<23 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sex:Female \eq 0$ [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<21 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] [ $age:<21 \eq 0$ [ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ],
compas-binary,complete,1,6907,12,12,dl85,4,None,None,300,leviathan,1,1,5525,12,12,1.663673454,5,14,27,67.94570136,65.34008683,[ $juvenile-crimes:=0 \eq 0$ [ $priors:=1 \eq 0$ [ $age:<23 \eq 0$ [ $priors:=0 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ] [ $juvenile-misdemeanors:=0 \eq 0$ [ $age:<21 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] [ $age:<21 \eq 0$ [ $priors:2-3 \eq 0$ [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $age:<26 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $sex:Female \eq 0$ [ $class$ [ $1$ ] ] [ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ] ],
