Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.2,300,leviathan,1,0,6907,12,22,0.0,1,1,1,53.30316742081448,55.42691751085383,[ $class$ [ $0$ ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.2,300,leviathan,1,1,6907,12,22,0.0,1,1,1,53.592760180995484,54.26917510853835,[ $class$ [ $0$ ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.2,300,leviathan,1,2,6907,12,22,0.0,1,1,1,54.035468693449154,52.49818971759594,[ $class$ [ $0$ ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.2,300,leviathan,1,3,6907,12,22,0.0,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.2,300,leviathan,1,4,6907,12,22,0.0,1,1,1,53.89069851610569,53.07748008689356,[ $class$ [ $0$ ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.1,300,leviathan,1,0,6907,12,22,0.0010000000474974513,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.1,300,leviathan,1,1,6907,12,22,0.0010000000474974513,2,2,3,63.83710407239819,64.10998552821997,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.1,300,leviathan,1,2,6907,12,22,0.0010000000474974513,2,2,3,64.56749909518639,61.18754525706011,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.1,300,leviathan,1,3,6907,12,22,0.0,1,1,1,53.81831342743395,53.367125271542356,[ $class$ [ $0$ ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.1,300,leviathan,1,4,6907,12,22,0.0010000000474974513,2,2,3,63.916033297140785,63.79435191889935,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,2,6907,12,22,gosdt,None,None,0.09,300,leviathan,1,0,6907,12,22,0.0010000000474974513,2,2,3,63.47511312217195,65.55716353111433,[ $priors:>3  \eq  1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
