Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.2,300,leviathan,15,0,5525,12,12,0.07905845484,1,1,1,53.30316742,55.42691751,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.2,300,leviathan,15,1,5525,12,12,0.07492471766,1,1,1,53.59276018,54.26917511,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.2,300,leviathan,15,2,5526,12,12,0.07571754511,1,1,1,54.03546869,52.49818972,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.2,300,leviathan,15,3,5526,12,12,0.07623328687999999,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.2,300,leviathan,15,4,5526,12,12,0.07558241393,1,1,1,53.89069852,53.07748009,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.1,300,leviathan,15,0,5525,12,12,0.07650153106,2,2,3,63.47511312,65.55716353,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.1,300,leviathan,15,1,5525,12,12,0.07609096589,2,2,3,63.83710407,64.10998553,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.1,300,leviathan,15,2,5526,12,12,0.07673071325,2,2,3,64.5674991,61.18754526,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.1,300,leviathan,15,3,5526,12,12,0.07709619496,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.1,300,leviathan,15,4,5526,12,12,0.07793200388999999,2,2,3,63.916033299999995,63.79435192,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.09,300,leviathan,15,0,5525,12,12,0.07644684892,2,2,3,63.47511312,65.55716353,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.09,300,leviathan,15,1,5525,12,12,0.07629256323,2,2,3,63.83710407,64.10998553,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.09,300,leviathan,15,2,5526,12,12,0.08101829421,2,2,3,64.5674991,61.18754526,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.09,300,leviathan,15,3,5526,12,12,0.07574233226,2,2,3,63.66268549,64.80811007,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
compas-binary,complete,1,6907,12,12,gosdt,None,None,0.09,300,leviathan,15,4,5526,12,12,0.07728796592,2,2,3,63.916033299999995,63.79435192,[ $priors:>3 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
