Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
compas-binary,complete,1,6907,12,12,osdt,None,None,0.2,300,leviathan,1,0,5525,12,12,0.24704135160000001,1,1,1,53.30316742,55.42691751,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.2,300,leviathan,1,1,5525,12,12,0.2449598503,1,1,1,53.59276018,54.26917511,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.2,300,leviathan,1,2,5526,12,12,0.24354221489999997,1,1,1,54.03546869,52.49818972,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.2,300,leviathan,1,3,5526,12,12,0.24226365100000002,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.2,300,leviathan,1,4,5526,12,12,0.24376701190000002,1,1,1,53.89069852,53.07748009,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.1,300,leviathan,1,0,5525,12,12,0.25009595879999996,2,2,3,63.47511312,65.55716353,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.1,300,leviathan,1,1,5525,12,12,0.24585906600000001,2,2,3,63.83710407,64.10998553,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.1,300,leviathan,1,2,5526,12,12,0.2510425001,2,2,3,64.5674991,61.18754526,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.1,300,leviathan,1,3,5526,12,12,0.2467581141,1,1,1,53.81831343,53.36712527,[ $class$ [ $0$ ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.1,300,leviathan,1,4,5526,12,12,0.2505443282,2,2,3,63.916033299999995,63.79435192,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.09,300,leviathan,1,0,5525,12,12,0.242568735,2,2,3,63.47511312,65.55716353,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.09,300,leviathan,1,1,5525,12,12,0.2488937937,2,2,3,63.83710407,64.10998553,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.09,300,leviathan,1,2,5526,12,12,0.2487698919,2,2,3,64.5674991,61.18754526,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.09,300,leviathan,1,3,5526,12,12,0.2464849888,2,2,3,63.66268549,64.80811007,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.09,300,leviathan,1,4,5526,12,12,0.24831025489999997,2,2,3,63.916033299999995,63.79435192,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.08,300,leviathan,1,0,5525,12,12,0.23779565,2,2,3,63.47511312,65.55716353,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.08,300,leviathan,1,1,5525,12,12,0.24493228879999998,2,2,3,63.83710407,64.10998553,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.08,300,leviathan,1,2,5526,12,12,0.2464824794,2,2,3,64.5674991,61.18754526,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.08,300,leviathan,1,3,5526,12,12,0.24515917480000002,2,2,3,63.66268549,64.80811007,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.08,300,leviathan,1,4,5526,12,12,0.24992545600000002,2,2,3,63.916033299999995,63.79435192,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.07,300,leviathan,1,0,5525,12,12,0.24691106010000002,2,2,3,63.47511312,65.55716353,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.07,300,leviathan,1,1,5525,12,12,0.25099712,2,2,3,63.83710407,64.10998553,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.07,300,leviathan,1,2,5526,12,12,0.24579705899999998,2,2,3,64.5674991,61.18754526,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.07,300,leviathan,1,3,5526,12,12,0.2474890901,2,2,3,63.66268549,64.80811007,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.07,300,leviathan,1,4,5526,12,12,0.2530604722,2,2,3,63.916033299999995,63.79435192,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.06,300,leviathan,1,0,5525,12,12,0.24952527,2,2,3,63.47511312,65.55716353,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.06,300,leviathan,1,1,5525,12,12,0.251950819,2,2,3,63.83710407,64.10998553,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.06,300,leviathan,1,2,5526,12,12,0.2531941263,2,2,3,64.5674991,61.18754526,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
compas-binary,complete,1,6907,12,12,osdt,None,None,0.06,300,leviathan,1,3,5526,12,12,0.25308593739999996,2,2,3,63.66268549,64.80811007,[ $priors:>3 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
