Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,0,8367,17,17,0.17137650210000002,2,2,3,69.55898171,69.74187380000001,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,1,8367,17,17,0.007632681169,2,2,3,69.60678857,68.69024857,[ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,2,8367,17,17,0.009190969169,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,3,8367,17,17,0.007202193141,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,1,None,None,300,leviathan,1,4,8368,17,17,0.007988482247999999,2,2,3,69.39531549,69.53610713,[ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,0,8367,17,17,0.03853441682,3,4,7,71.86566272,64.14913958,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,1,8367,17,17,0.036618636919999996,3,4,7,71.14855982,71.08030593,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,2,8367,17,17,0.037896478080000004,3,4,7,70.8139118,72.41873805,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,3,8367,17,17,0.03687590593,3,4,7,71.2919804,70.50669216,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,2,None,None,300,leviathan,1,4,8368,17,17,0.037082873280000005,3,4,7,71.12810707,71.16212339,[ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,3,None,None,300,leviathan,1,0,8367,17,17,0.8631278928,4,8,15,72.7978965,64.19694073,[ $Inquiry<0.75 \eq 0$ [ $TradeFrequency<0.45 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $TradeOpenTime<0.6 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,3,None,None,300,leviathan,1,1,8367,17,17,0.8439080998999999,4,8,15,71.9254213,70.74569790000001,[ $Inquiry<0.75 \eq 0$ [ $TradeFrequency<0.45 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $NumSatisfactoryTrades<0.5 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,3,None,None,300,leviathan,1,2,8367,17,17,0.8558551911,4,8,15,71.42344926,72.80114723,[ $Inquiry<0.75 \eq 0$ [ $TradeFrequency<0.45 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $TradeWBalance<0.33 \eq 0$ [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.80 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
fico-binary,complete,1,10459,17,17,dl85,3,None,None,300,leviathan,1,3,8367,17,17,0.8685269887,4,8,15,71.86566272,70.74569790000001,[ $TradeWBalance<0.33 \eq 0$ [ $Inquiry<0.75 \eq 0$ [ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $ExternalRiskEstimate<0.65 \eq 0$ [ $Inquiry<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Delinquency<0.75 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
