Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.2,300,leviathan,15,0,8367,17,17,0.3611357808,1,1,1,50.86649934,57.50478011,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.2,300,leviathan,15,1,8367,17,17,0.335550047,1,1,1,52.98195291,49.04397706,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.2,300,leviathan,15,2,8367,17,17,0.3521469403,1,1,1,52.32460858,51.67304015,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.2,300,leviathan,15,3,8367,17,17,0.35049910100000004,1,1,1,51.79873312,53.77629063,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.2,300,leviathan,15,4,8368,17,17,0.35470961409999996,1,1,1,52.99952199,48.97178384,[ $class$ [ $0$ ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.1,300,leviathan,15,0,8367,17,17,0.37548487119999996,2,2,3,69.55898171,69.74187380000001,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.1,300,leviathan,15,1,8367,17,17,0.34414409520000006,2,2,3,69.60678857,68.69024857,[ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.1,300,leviathan,15,2,8367,17,17,0.3594399169,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.1,300,leviathan,15,3,8367,17,17,0.3581056413,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.1,300,leviathan,15,4,8368,17,17,0.3597615859,2,2,3,69.39531549,69.53610713,[ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.09,300,leviathan,15,0,8367,17,17,0.3784912,2,2,3,69.55898171,69.74187380000001,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.09,300,leviathan,15,1,8367,17,17,0.35185434060000004,2,2,3,69.60678857,68.69024857,[ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.09,300,leviathan,15,2,8367,17,17,0.36666121329999996,2,2,3,69.71435401,69.12045889,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.09,300,leviathan,15,3,8367,17,17,0.3674035552,2,2,3,69.89362974,68.40344168,[ $ExternalRiskEstimate<0.65 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
fico-binary,complete,1,10459,17,17,gosdt,None,None,0.09,300,leviathan,15,4,8368,17,17,0.37566604090000005,2,2,3,69.39531549,69.53610713,[ $ExternalRiskEstimate<0.49 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
