 ,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,0,99,11,11,0.002518260852,2,2,3,74.74747475,68,[ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,1,99,11,11,0.002458833158,2,2,3,66.66666667,100,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,2,99,11,11,0.002487099729,2,2,3,77.77777778,56,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,3,99,11,11,0.002454617992,2,2,3,67.67676768,96,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,cart,1,2,None,300,leviathan,1,4,100,11,11,0.002522535156,2,2,3,80,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,0,99,11,11,0.002474616747,3,3,5,74.74747475,68,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,1,99,11,11,0.002508495003,3,3,5,68.68686869,48,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a4_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,2,99,11,11,0.002521263901,3,3,5,77.77777778,56,[ $a5_1 \eq 1$ [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,3,99,11,11,0.002524051815,3,3,5,73.73737374,48,[ $a5_1 \eq 1$ [ $a1_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,cart,2,4,None,300,leviathan,1,4,100,11,11,0.004107600078,3,3,5,80,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
