 ,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-1,complete,1,124,11,11,binoct,1,None,None,300,leviathan,30,0,99,11,11,0.1876776232,2,2,3,74.74747475,68.0,[ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,binoct,1,None,None,300,leviathan,30,1,99,11,11,0.1366723008,2,2,3,66.66666667,100.0,[ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,binoct,1,None,None,300,leviathan,30,2,99,11,11,0.155733278,2,2,3,77.77777778,56.0,[ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,binoct,1,None,None,300,leviathan,30,3,99,11,11,0.1553976843,2,2,3,67.67676768,48.0,[ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,binoct,1,None,None,300,leviathan,30,4,100,11,11,0.13942256990000002,2,2,3,80.0,45.83333333,[ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,binoct,2,None,None,300,leviathan,30,0,99,11,11,0.5480954829,3,4,7,85.85858586,60.0,[ $a2_1 \eq 1$ [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,binoct,2,None,None,300,leviathan,30,1,99,11,11,0.4770433921,3,4,7,82.82828283,80.0,[ $a2_1 \eq 0$ [ $a1_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,binoct,2,None,None,300,leviathan,30,2,99,11,11,0.7173100551999999,3,4,7,80.80808081,56.0,[ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,binoct,2,None,None,300,leviathan,30,3,99,11,11,0.5535549149,3,4,7,88.88888889,56.0,[ $a1_1 \eq 1$ [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-1,complete,1,124,11,11,binoct,2,None,None,300,leviathan,30,4,100,11,11,0.5695673078,3,4,7,89.0,29.16666667,[ $a2_2 \eq 1$ [ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
