 ,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-1,complete,1,124,11,11,dl85,1,None,None,300,leviathan,1,0,99,11,11,0.155120763,2,2,3,74.74747475,68.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,dl85,1,None,None,300,leviathan,1,1,99,11,11,0.002132272348,2,2,3,66.66666667,100.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,dl85,1,None,None,300,leviathan,1,2,99,11,11,0.002148618922,2,2,3,77.77777778,56.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,dl85,1,None,None,300,leviathan,1,3,99,11,11,0.002052213997,2,2,3,67.67676768,48.0,[ $a1_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,dl85,1,None,None,300,leviathan,1,4,100,11,11,0.002003579866,2,2,3,80.0,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,dl85,2,None,None,300,leviathan,1,0,99,11,11,0.003702187911,3,4,7,85.85858586,60.0,[ $a2_1 \eq 0$ [ $a1_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,dl85,2,None,None,300,leviathan,1,1,99,11,11,0.0035786009389999996,3,4,7,82.82828283,80.0,[ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,dl85,2,None,None,300,leviathan,1,2,99,11,11,0.005465182941000001,3,4,7,80.80808081,56.0,[ $a1_1 \eq 0$ [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,dl85,2,None,None,300,leviathan,1,3,99,11,11,0.0030134320260000002,3,4,7,88.88888889,56.0,[ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,dl85,2,None,None,300,leviathan,1,4,100,11,11,0.003289168235,3,4,7,89.0,29.16666667,[ $a2_2 \eq 0$ [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a1_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-1,complete,1,124,11,11,dl85,3,None,None,300,leviathan,1,0,99,11,11,0.01960655628,4,7,13,91.91919192,60.0,[ $a1_2 \eq 0$ [ $a2_1 \eq 0$ [ $a1_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_2 \eq 0$ [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,dl85,3,None,None,300,leviathan,1,1,99,11,11,0.017624577040000002,4,7,13,93.93939394,36.0,[ $a1_2 \eq 0$ [ $a2_2 \eq 0$ [ $a1_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_2 \eq 0$ [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,dl85,3,None,None,300,leviathan,1,2,99,11,11,0.02125207707,4,7,13,90.90909091,84.0,[ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $a5_3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_1 \eq 0$ [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,dl85,3,None,None,300,leviathan,1,3,99,11,11,0.015259395819999999,4,6,11,95.95959596,72.0,[ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $a2_1 \eq 0$ [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,dl85,3,None,None,300,leviathan,1,4,100,11,11,0.012735730970000001,4,6,11,99.0,29.16666667,[ $a1_1 \eq 0$ [ $a2_2 \eq 0$ [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] [ $a2_1 \eq 0$ [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ] ],
