 ,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-1,complete,1,124,11,11,gosdt,None,None,0.2,300,leviathan,15,0,99,11,11,0.032376675869999996,2,2,3,74.74747475,68.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.2,300,leviathan,15,1,99,11,11,0.03610271262,1,1,1,57.57575758,20.0,[ $class$ [ $1$ ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.2,300,leviathan,15,2,99,11,11,0.03403572086,2,2,3,77.77777778,56.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.2,300,leviathan,15,3,99,11,11,0.03571740119,1,1,1,50.50505051,48.0,[ $class$ [ $1$ ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.2,300,leviathan,15,4,100,11,11,0.047451488210000003,2,2,3,80.0,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.1,300,leviathan,15,0,99,11,11,0.05401514982999999,2,2,3,74.74747475,68.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.1,300,leviathan,15,1,99,11,11,0.049138877080000004,1,1,1,57.57575758,20.0,[ $class$ [ $1$ ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.1,300,leviathan,15,2,99,11,11,0.052721550219999996,2,2,3,77.77777778,56.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.1,300,leviathan,15,3,99,11,11,0.05328931101,3,3,5,79.7979798,56.0,[ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.1,300,leviathan,15,4,100,11,11,300.0223358,2,2,3,80.0,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.09,300,leviathan,15,0,99,11,11,0.030334167180000003,2,2,3,74.74747475,68.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.09,300,leviathan,15,1,99,11,11,0.028388246889999996,4,5,9,93.93939394,36.0,[ $a5_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.09,300,leviathan,15,2,99,11,11,0.0259686131,2,2,3,77.77777778,56.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.09,300,leviathan,15,3,99,11,11,0.030450118239999997,3,4,7,88.88888889,56.0,[ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.09,300,leviathan,15,4,100,11,11,0.0233838819,2,2,3,80.0,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.08,300,leviathan,15,0,99,11,11,0.03317209007,2,2,3,74.74747475,68.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.08,300,leviathan,15,1,99,11,11,0.029236739039999998,4,5,9,93.93939394,36.0,[ $a5_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.08,300,leviathan,15,2,99,11,11,0.029549855739999995,2,2,3,77.77777778,56.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.08,300,leviathan,15,3,99,11,11,0.03304899298,3,4,7,88.88888889,56.0,[ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.08,300,leviathan,15,4,100,11,11,0.024635586890000002,2,2,3,80.0,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.07,300,leviathan,15,0,99,11,11,0.03541870881,4,4,7,88.88888889,68.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.07,300,leviathan,15,1,99,11,11,0.03217842011,4,5,9,93.93939394,36.0,[ $a5_1 \eq 0$ [ $a1_2 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.07,300,leviathan,15,2,99,11,11,0.03762935613999999,2,2,3,77.77777778,56.0,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.07,300,leviathan,15,3,99,11,11,0.03913917392,4,5,9,95.95959596,72.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.07,300,leviathan,15,4,100,11,11,0.02474644268,2,2,3,80.0,45.83333333,[ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,gosdt,None,None,0.06,300,leviathan,15,0,99,11,11,0.043867492120000004,4,4,7,88.88888889,68.0,[ $a5_1 \eq 0$ [ $a1_1 \eq 0$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
