 ,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-1,complete,1,124,11,11,osdt,None,None,0.2,300,leviathan,1,0,99,11,11,0.024347217290000004,2,2,3,74.74747475,68.0,[ $a5_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.2,300,leviathan,1,1,99,11,11,0.023269209080000002,1,1,1,57.57575758,20.0,[ $class$ [ $1$ ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.2,300,leviathan,1,2,99,11,11,0.02379482193,2,2,3,77.77777778,56.0,[ $a5_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.2,300,leviathan,1,3,99,11,11,0.0237047011,1,1,1,50.50505051,48.0,[ $class$ [ $1$ ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.2,300,leviathan,1,4,100,11,11,0.02442222182,2,2,3,80.0,45.83333333,[ $a5_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.1,300,leviathan,1,0,99,11,11,0.041929756760000006,2,2,3,74.74747475,68.0,[ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.1,300,leviathan,1,1,99,11,11,1.46927428,2,2,3,66.66666667,100.0,[ $a5_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.1,300,leviathan,1,2,99,11,11,0.03286926402,2,2,3,77.77777778,56.0,[ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.1,300,leviathan,1,3,99,11,11,1.468460769,2,2,3,67.67676768,48.0,[ $a1_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.1,300,leviathan,1,4,100,11,11,0.02558780136,2,2,3,80.0,45.83333333,[ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-1,complete,1,124,11,11,osdt,None,None,0.09,300,leviathan,1,0,99,11,11,0.06589887338,2,2,3,74.74747475,68.0,[ $a5_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
