Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-2,complete,2,601,6,13,gosdt,None,None,0.2,300,leviathan,1,0,601,6,13,0.0,1,1,1,50.0,50.413223140495866,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.2,300,leviathan,1,1,601,6,13,0.0,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.2,300,leviathan,1,2,601,6,13,0.0,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.2,300,leviathan,1,3,601,6,13,0.0,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.2,300,leviathan,1,4,601,6,13,0.0,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.1,300,leviathan,1,0,601,6,13,0.0020000000949949026,1,1,1,50.0,50.413223140495866,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.1,300,leviathan,1,1,601,6,13,0.0020000000949949026,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.1,300,leviathan,1,2,601,6,13,0.003000000026077032,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.1,300,leviathan,1,3,601,6,13,0.003000000026077032,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.1,300,leviathan,1,4,601,6,13,0.003000000026077032,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.09,300,leviathan,1,0,601,6,13,0.003000000026077032,1,1,1,50.0,50.413223140495866,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.09,300,leviathan,1,1,601,6,13,0.003000000026077032,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.09,300,leviathan,1,2,601,6,13,0.003000000026077032,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.09,300,leviathan,1,3,601,6,13,0.003000000026077032,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
monk-2,complete,2,601,6,13,gosdt,None,None,0.09,300,leviathan,1,4,601,6,13,0.003000000026077032,1,1,1,50.1039501039501,50.0,[ $class$ [ $1$ ] ],
