Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-3,complete,1,122,11,11,gosdt,None,None,0.2,300,leviathan,15,0,97,11,11,0.02005403489,1,1,1,56.70103093,28.0,[ $class$ [ $0$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.2,300,leviathan,15,1,97,11,11,0.02147378307,1,1,1,51.54639175,40.0,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.2,300,leviathan,15,2,98,11,11,0.01985219866,1,1,1,53.06122449,41.66666667,[ $class$ [ $0$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.2,300,leviathan,15,3,98,11,11,0.01890177233,1,1,1,53.06122449,33.33333333,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.2,300,leviathan,15,4,98,11,11,0.02166813519,1,1,1,51.02040816,41.66666667,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.1,300,leviathan,15,0,97,11,11,0.02559927804,2,2,3,71.13402062,52.0,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.1,300,leviathan,15,1,97,11,11,0.02909762505,3,3,5,74.22680412,92.0,[ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.1,300,leviathan,15,2,98,11,11,0.0262964,3,3,5,82.65306122,58.33333333,[ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.1,300,leviathan,15,3,98,11,11,0.02535956493,2,2,3,67.34693878,66.66666667,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.1,300,leviathan,15,4,98,11,11,0.026922186839999997,3,3,5,76.53061224,83.33333333,[ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,gosdt,None,None,0.09,300,leviathan,15,0,97,11,11,0.025846076659999998,2,2,3,71.13402062,52.0,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
