Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
monk-3,complete,1,122,11,11,osdt,None,None,0.2,300,leviathan,1,0,97,11,11,0.02348782588,1,1,1,56.70103093,28.0,[ $class$ [ $0$ ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.2,300,leviathan,1,1,97,11,11,0.023489512969999998,1,1,1,51.54639175,40.0,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.2,300,leviathan,1,2,98,11,11,0.023534410630000002,1,1,1,53.06122449,41.66666667,[ $class$ [ $0$ ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.2,300,leviathan,1,3,98,11,11,0.023510933390000002,1,1,1,53.06122449,33.33333333,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.2,300,leviathan,1,4,98,11,11,0.02387871081,1,1,1,51.02040816,41.66666667,[ $class$ [ $1$ ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.1,300,leviathan,1,0,97,11,11,0.04173964262,2,2,3,71.13402062,52.0,[ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.1,300,leviathan,1,1,97,11,11,0.9653301528,3,3,5,74.22680412,92.0,[ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.1,300,leviathan,1,2,98,11,11,0.042255853770000004,3,3,5,64.28571429,50.0,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.1,300,leviathan,1,3,98,11,11,1.23467115,2,2,3,67.34693878,66.66666667,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.1,300,leviathan,1,4,98,11,11,1.506247806,3,3,5,63.26530612,83.33333333,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.09,300,leviathan,1,0,97,11,11,1.586562235,2,2,3,71.13402062,52.0,[ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.09,300,leviathan,1,1,97,11,11,1.421858918,3,3,5,74.22680412,92.0,[ $a2_1 \eq 0$ [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.09,300,leviathan,1,2,98,11,11,0.04359687073,3,3,5,82.65306122,58.33333333,[ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.09,300,leviathan,1,3,98,11,11,1.637574298,3,3,5,56.12244898,83.33333333,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.09,300,leviathan,1,4,98,11,11,1.8183352830000001,3,3,5,63.26530612,83.33333333,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.08,300,leviathan,1,0,97,11,11,2.0598061519999997,3,3,5,64.94845361,48.0,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.08,300,leviathan,1,1,97,11,11,1.843421376,3,3,5,74.22680412,92.0,[ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.08,300,leviathan,1,2,98,11,11,1.86217243,3,3,5,82.65306122,58.33333333,[ $a2_2 \eq 1$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.08,300,leviathan,1,3,98,11,11,1.999917615,3,3,5,56.12244898,83.33333333,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.08,300,leviathan,1,4,98,11,11,2.099813447,3,3,5,63.26530612,83.33333333,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.07,300,leviathan,1,0,97,11,11,2.673334416,3,3,5,64.94845361,48.0,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.07,300,leviathan,1,1,97,11,11,2.61123553,3,3,5,74.22680412,92.0,[ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.07,300,leviathan,1,2,98,11,11,2.209831838,3,3,5,82.65306122,58.33333333,[ $a2_2 \eq 1$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.07,300,leviathan,1,3,98,11,11,2.522729622,3,3,5,56.12244898,83.33333333,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.07,300,leviathan,1,4,98,11,11,2.7309234019999997,3,3,5,76.53061224,83.33333333,[ $a2_1 \eq 0$ [ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.06,300,leviathan,1,0,97,11,11,3.326046714,3,3,5,64.94845361,48.0,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.06,300,leviathan,1,1,97,11,11,35.68127964,3,3,5,74.22680412,92.0,[ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.06,300,leviathan,1,2,98,11,11,2.788490678,3,3,5,82.65306122,58.33333333,[ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.06,300,leviathan,1,3,98,11,11,3.347912963,3,3,5,56.12244898,83.33333333,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.06,300,leviathan,1,4,98,11,11,3.853397836,3,3,5,63.26530612,83.33333333,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.05,300,leviathan,1,0,97,11,11,22.90994816,3,3,5,64.94845361,48.0,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.05,300,leviathan,1,1,97,11,11,300.07244330000003,3,3,5,74.22680412,92.0,[ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.05,300,leviathan,1,2,98,11,11,3.4463271719999997,3,3,5,82.65306122,58.33333333,[ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.05,300,leviathan,1,3,98,11,11,62.56617384,3,3,5,76.53061224,83.33333333,[ $a2_2 \eq 1$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.05,300,leviathan,1,4,98,11,11,82.3060069,3,3,5,63.26530612,83.33333333,[ $a2_2 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_1 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.04,300,leviathan,1,0,97,11,11,300.1363361,3,3,5,64.94845361,48.0,[ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.04,300,leviathan,1,1,97,11,11,300.6069483,4,5,9,75.25773196,84.0,[ $a5_2 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 1$ [ $a5_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $a2_2 \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.04,300,leviathan,1,2,98,11,11,59.67008081,3,3,5,82.65306122,58.33333333,[ $a2_2 \eq 1$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.04,300,leviathan,1,3,98,11,11,300.25687650000003,3,3,5,76.53061224,83.33333333,[ $a2_2 \eq 1$ [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.04,300,leviathan,1,4,98,11,11,300.4960707,5,5,9,72.44897959,54.16666667,[ $a5_2 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 0$ [ $a5_1 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.03,300,leviathan,1,0,97,11,11,300.6681497,3,3,5,79.3814433,72.0,[ $a2_2 \eq 0$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.03,300,leviathan,1,1,97,11,11,300.13367810000005,6,6,11,86.59793814,92.0,[ $a2_2 \eq 1$ [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $a5_1 \eq 0$ [ $class$ [ $1$ ] ] [ $a5_2 \eq 0$ [ $class$ [ $1$ ] ] [ $a5_3 \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.03,300,leviathan,1,2,98,11,11,301.1547447,3,3,5,82.65306122,58.33333333,[ $a2_2 \eq 1$ [ $a2_1 \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.03,300,leviathan,1,3,98,11,11,301.1918016,5,5,9,71.42857143,58.33333333,[ $a5_2 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 0$ [ $a5_1 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ] ],
monk-3,complete,1,122,11,11,osdt,None,None,0.03,300,leviathan,1,4,98,11,11,300.7972962,5,5,9,72.44897959,54.16666667,[ $a5_2 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_2 \eq 0$ [ $a5_1 \eq 1$ [ $class$ [ $1$ ] ] [ $a2_1 \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $class$ [ $1$ ] ] ] ],
