Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
tic-tac-toe,complete,1,958,18,18,dl85,1,None,None,300,leviathan,1,0,766,18,36,0.1729373462,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,dl85,1,None,None,300,leviathan,1,1,766,18,36,0.002933369018,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,dl85,1,None,None,300,leviathan,1,2,766,18,36,0.002752400935,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,dl85,1,None,None,300,leviathan,1,3,767,18,36,-1.0,-1,-1,-1,-1.0,-1.0,,
tic-tac-toe,complete,1,958,18,18,dl85,1,None,None,300,leviathan,1,4,767,18,36,-1.0,-1,-1,-1,-1.0,-1.0,,
tic-tac-toe,complete,1,958,18,18,dl85,2,None,None,300,leviathan,1,0,766,18,36,0.011528569740000001,3,4,7,73.23759791,44.79166667,[ $Feat8_x \eq 0$ [ $Feat4_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat1_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,dl85,2,None,None,300,leviathan,1,1,766,18,36,0.009756512940000002,3,4,7,71.14882507,47.39583333,[ $Feat1_x \eq 0$ [ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat0_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,dl85,2,None,None,300,leviathan,1,2,766,18,36,0.009724736679,3,3,5,70.10443864,65.10416667,[ $Feat0_x \eq 0$ [ $Feat4_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,dl85,2,None,None,300,leviathan,1,3,767,18,36,0.009339045268,3,3,5,81.4863103,26.70157068,[ $Feat0_x \eq 0$ [ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,dl85,2,None,None,300,leviathan,1,4,767,18,36,0.009962120093,3,3,5,82.65971317,15.18324607,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $Feat6_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,dl85,3,None,None,300,leviathan,1,0,766,18,36,0.23312778210000001,4,8,15,81.33159269,53.125,[ $Feat8_x \eq 0$ [ $Feat0_x \eq 1$ [ $Feat6_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat4_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] [ $Feat7_x \eq 0$ [ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat6_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ] ],
