Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.2,300,leviathan,15,0,766,18,36,0.1201953799,1,1,1,56.65796345,100.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.2,300,leviathan,15,1,766,18,36,0.1197903058,1,1,1,56.65796345,100.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.2,300,leviathan,15,2,766,18,36,0.11493221810000001,1,1,1,56.65796345,100.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.2,300,leviathan,15,3,767,18,36,0.1168554961,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.2,300,leviathan,15,4,767,18,36,0.1316532032,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.1,300,leviathan,15,0,766,18,36,0.1517272186,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.1,300,leviathan,15,1,766,18,36,0.1529876571,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.1,300,leviathan,15,2,766,18,36,0.1440506889,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.1,300,leviathan,15,3,767,18,36,0.118342468,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.1,300,leviathan,15,4,767,18,36,0.11648976800000001,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.09,300,leviathan,15,0,766,18,36,0.15180676199999998,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.09,300,leviathan,15,1,766,18,36,0.1624705964,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.09,300,leviathan,15,2,766,18,36,0.16181998,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.09,300,leviathan,15,3,767,18,36,0.1254617963,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.09,300,leviathan,15,4,767,18,36,0.1172502991,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.08,300,leviathan,15,0,766,18,36,0.17112160469999999,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.08,300,leviathan,15,1,766,18,36,0.18646116,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.08,300,leviathan,15,2,766,18,36,0.17690151420000003,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.08,300,leviathan,15,3,767,18,36,0.1341727339,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.08,300,leviathan,15,4,767,18,36,0.12095463880000001,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.07,300,leviathan,15,0,766,18,36,0.1942376019,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.07,300,leviathan,15,1,766,18,36,0.20331751,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.07,300,leviathan,15,2,766,18,36,0.206189428,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.07,300,leviathan,15,3,767,18,36,0.1392679289,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.07,300,leviathan,15,4,767,18,36,0.120164908,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.06,300,leviathan,15,0,766,18,36,0.2647171309,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,gosdt,None,None,0.06,300,leviathan,15,1,766,18,36,0.2788016824,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
