Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.2,300,leviathan,1,0,766,18,36,0.281898417,1,1,1,56.65796345,100.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.2,300,leviathan,1,1,766,18,36,0.2755137198,1,1,1,56.65796345,100.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.2,300,leviathan,1,2,766,18,36,0.27450253210000003,1,1,1,56.65796345,100.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.2,300,leviathan,1,3,767,18,36,0.27019235070000003,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.2,300,leviathan,1,4,767,18,36,0.2695117272,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.1,300,leviathan,1,0,766,18,36,0.2770307884,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.1,300,leviathan,1,1,766,18,36,8.616522355,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.1,300,leviathan,1,2,766,18,36,8.066628372,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.1,300,leviathan,1,3,767,18,36,0.2762649111,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.1,300,leviathan,1,4,767,18,36,0.2699624239,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.09,300,leviathan,1,0,766,18,36,10.52108,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.09,300,leviathan,1,1,766,18,36,10.83574341,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.09,300,leviathan,1,2,766,18,36,10.50784325,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.09,300,leviathan,1,3,767,18,36,0.2773907091,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.09,300,leviathan,1,4,767,18,36,0.2763195643,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.08,300,leviathan,1,0,766,18,36,13.13083266,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.08,300,leviathan,1,1,766,18,36,13.67005543,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.08,300,leviathan,1,2,766,18,36,13.26305332,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.08,300,leviathan,1,3,767,18,36,0.2766561978,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.08,300,leviathan,1,4,767,18,36,0.2750365851,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.07,300,leviathan,1,0,766,18,36,16.64169444,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.07,300,leviathan,1,1,766,18,36,17.87087422,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.07,300,leviathan,1,2,766,18,36,17.55146837,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.07,300,leviathan,1,3,767,18,36,0.29980772920000004,1,1,1,75.09778357,26.17801047,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.07,300,leviathan,1,4,767,18,36,0.2804827504,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.06,300,leviathan,1,0,766,18,36,23.16906171,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.06,300,leviathan,1,1,766,18,36,111.6407145,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.06,300,leviathan,1,2,766,18,36,153.5095039,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.06,300,leviathan,1,3,767,18,36,7.821983447999999,3,3,5,70.79530639,66.4921466,[ $Feat4_o \eq 1$ [ $class$ [ $0$ ] ] [ $Feat0_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.06,300,leviathan,1,4,767,18,36,0.27982835289999997,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.05,300,leviathan,1,0,766,18,36,300.195037,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.05,300,leviathan,1,1,766,18,36,300.43440560000005,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.05,300,leviathan,1,2,766,18,36,300.2472713,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.05,300,leviathan,1,3,767,18,36,32.16378309,3,3,5,70.79530639,66.4921466,[ $Feat4_o \eq 1$ [ $class$ [ $0$ ] ] [ $Feat0_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.05,300,leviathan,1,4,767,18,36,0.2788830972,1,1,1,81.6166884,0.0,[ $class$ [ $1$ ] ],
tic-tac-toe,complete,1,958,18,18,osdt,None,None,0.04,300,leviathan,1,0,766,18,36,300.34887339999995,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
